stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,18.4,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,4,1,3,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,13.13,0.82,0,0,0,2.46,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,9.67,0,2.42,0,0,0,0,3.22,0,1.61,0.81,1.61,49.15,1.61,0,0,0,4.03,0,17.72,0,0.81,1.61
 48-58,0,0,0,1.72,0,10.9,0,1.72,0,0,0,0,2.3,0,4.02,1.15,0,14.92,0,0,0,0,2.87,0,4.02,0,0.57,0.57
 60-70,0,0,0,3.93,0,5.89,0,0.98,0,0,0,0,9.82,0,0.98,1.96,0,9.82,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,3.93,0,10.8,0,4.91,0.98,0,0,0,25.52,0,0.98,2.94,0.98,25.52,0,0,0,0,2.94,0,0,0.98,0,0
 84-94,0,0,0,4.25,0,5.31,0,1.06,1.06,0,0,0,32.92,0,2.12,1.06,0,14.87,0,0,0,0,8.5,0,2.12,0,0,0
 96-106,0,0,0,18.58,0,8.74,1.09,2.19,1.09,0,2.19,0,64.48,0,5.46,2.19,0,18.58,0,1.09,3.28,0,13.11,0,1.09,0,1.09,0
108-118,0,0,0,9.19,0,5.36,0.77,0,0,0,0,0,39.83,0.77,2.3,0,0,4.6,0,0,0,0,10.72,0,0,0.77,0,0
120,0,0,0,3.92,1.96,3.92,0,3.92,0,0,0,1.96,25.48,0,0,1.96,0,19.6,0,0,0,0,13.72,0,0,0,0,0
