stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,92.25,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,7.89,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,220.81,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,25.18,0,6.29,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,361.9,3.15,0,0,107,0,0,3.15,0,12.59,0,0,0,0,0,0,0
 14-21,1,0,3,121,14,18,0,0,0,4,4,1,2,3,0,0,0,35,0,0,25,319,1,1,8,5,0,4,1,35,6,3,36,66,0,0,2,0
 24-34,0,0,0,36.94,2.46,28.73,0,1.64,0,4.93,0,0,0,1.64,1.64,6.57,0,46.79,0,0,18.88,243.79,0,3.28,4.93,0,0,1.64,0.82,0,0,0.82,12.31,59.92,0,0,11.49,0
 36-46,0,0,0,7.25,0.81,14.5,0,0.81,1.61,9.67,0.81,0,0.81,0,0,0.81,0.81,28.2,0.81,0.81,13.7,74.93,0,2.42,2.42,0,0,0.81,0.81,0.81,0,0,0,17.72,0,0,3.22,0
 48-58,0,0,0.57,6.31,0,27.54,0,1.72,1.72,13.2,0,0,0.57,0.57,0,0.57,0,23.53,0,2.3,4.02,32.71,0,1.15,0.57,0,0.57,2.3,0,0,0,0,0,9.75,0,0,1.72,0
 60-70,0,0,0,13.74,0,14.72,0,4.91,0.98,17.67,0,0,0,0,0.98,0.98,0,27.48,0,0,8.83,16.69,0,0,2.94,0,0.98,0,0,0,0,0,0,1.96,0,0,0.98,0.98
 72-82,0,0,0,5.89,0,16.69,0.98,0,0.98,12.76,0.98,0.98,0,0,0,1.96,0.98,26.5,0.98,2.94,1.96,9.82,0,0,9.82,0,0,1.96,0,0,0,0,0,1.96,0,0.98,0.98,1.96
 84-94,0,0,0,5.31,0,11.68,0,2.12,2.12,21.24,0,0,0,2.12,0,1.06,0,23.36,0,0,2.12,13.81,0,3.19,3.19,0,0,4.25,0,0,1.06,0,0,1.06,0,2.12,3.19,0
 96-106,0,0,0,14.21,0,3.28,0,4.37,0,16.39,0,0,0,0,0,2.19,0,16.39,0,1.09,2.19,12.02,0,7.65,10.93,0,0,3.28,0,0,0,0,0,0,0,0,2.19,2.19
108-118,0,0,0,16.09,0,3.83,0,6.13,0.77,10.72,0,0,0,0.77,0,3.83,0,16.85,0,2.3,4.6,15.32,0.77,1.53,4.6,0,0,3.06,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,9.8,0,0,0,5.88,0,7.84,0,0,0,0,0,0,0,25.48,0,1.96,1.96,17.64,0,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,3.92,0
