stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,9,0,4,8,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0,4.1,4.93,18.88,0,0.82,0.82,0,0,0,0,0,0.82,9.03,0,1.64,0,0
 36-46,0,0,0,0.81,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0.81,2.42,0,18.53,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,4.02,0.57,0,0,2.3,0,0,0,0,0.57,0,0,3.44,0,8.03,0.57,0,0,0,0,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0,0,0,0,0,8.83,0,4.91,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,8.83,0,0,0,6.87,0,0,0,1.96,0,0,0,10.8,0.98,8.83,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,3.19,0,2.12,0,1.06,0,1.06,0,0,1.06,0,0,1.06,0,4.25,2.12,5.31,0,0,1.06,0,0,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,0,3.28,0,1.09,0,0,0,0,0,6.56,0,3.28,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,1.53,0,0,0,2.3,0,0,0,1.53,0,0,0,10.72,2.3,6.89,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,1.53
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
