stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,47,4,0,44,0,0,0,8,1,1,0,0,2,0,0,0,1,26,0,0,28,335,6,0,1,9,0,5,83,0,0,116,101,0,0,0,0,0
 24-34,0,0.82,0,7.39,0,0,42.68,0,0,0.82,5.75,1.64,0,0,1.64,0,0.82,0,0,0,27.91,0,0,13.95,245.44,0.82,0.82,3.28,0,0,4.93,0,0,0,6.57,53.36,0,0,0.82,0,1.64
 36-46,0,0,0,4.83,0,0,36.26,1.61,0,0,4.03,0.81,0,0.81,0,0.81,0.81,0,0.81,0,18.53,0,0,4.83,114.41,1.61,0.81,0,0,0,3.22,0,0,0,0,23.36,0,0,2.42,0,0.81
 48-58,0,0,0,5.74,0,0,61.97,0,0,1.72,11.48,0.57,0,0.57,0.57,0,0,0,0,0,25.25,0,1.72,6.89,98.12,0.57,1.15,0.57,0,0,2.87,0,0,0.57,0,18.36,0,0,2.3,0.57,0.57
 60-70,0,0,0,7.85,0,0,56.93,0.98,0,0.98,15.7,0.98,0,0,0,2.94,0,0,0.98,0,21.59,0,2.94,6.87,74.6,0,0,0.98,0,0,3.93,0,0.98,0,0,11.78,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,41.23,0,0,1.96,23.56,1.96,0,1.96,1.96,0.98,0,2.94,0.98,0,56.94,2.94,1.96,6.87,96.2,0,0,1.96,0,0.98,3.93,0,0,0,0,12.76,0.98,0.98,1.96,0.98,0.98
 84-94,0,0,0,4.25,1.06,0,30.8,0,1.06,3.19,13.81,4.25,0,2.12,8.5,3.19,0,1.06,0,0,37.17,2.12,2.12,9.56,47.79,0,1.06,2.12,0,0,24.43,0,0,0,0,6.37,2.12,0,3.19,1.06,0
 96-106,0,0,0,13.11,4.37,1.09,26.23,0,0,3.28,17.49,1.09,0,1.09,6.56,4.37,0,2.19,1.09,0,53.55,0,3.28,15.3,59.01,1.09,2.19,1.09,0,0,15.3,0,0,0,0,8.74,2.19,1.09,1.09,1.09,2.19
108-118,0,0,0,19.15,1.53,1.53,35.23,1.53,2.3,3.83,24.51,3.06,0,0.77,4.6,0.77,1.53,0,1.53,0,65.11,0.77,0.77,19.15,95.75,0,0.77,1.53,0,0.77,15.32,0,0,0.77,0,6.13,0.77,0,6.13,0.77,2.3
120,1.96,0,0,54.87,13.72,0,31.36,0,9.8,5.88,27.44,0,0,0,5.88,1.96,3.92,1.96,1.96,0,97.99,0,1.96,50.95,158.74,3.92,3.92,9.8,0,1.96,39.2,0,0,0,0,3.92,0,0,13.72,1.96,1.96
