stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0
 24-34,0,0,0,97.68,0.82,0,7.39,0,70.59,19.7,3.28,0.82,0,0.82,0.82,0.82,0,1.64,0,0.82,7.39,4.93,0,5.75,117.38,0,3.28,0.82,0,0.82,9.85,0,0.82,1.64,4.93,20.52,0,0,1.64,0,0.82
 36-46,0,0,0,73.32,0,0,49.95,0.81,185.3,66.87,11.28,0.81,0,2.42,0.81,0,0,0.81,0.81,3.22,34.64,0.81,2.42,15.31,277.15,3.22,1.61,1.61,0,0,12.09,0,0.81,0,0,77.34,0,0,4.03,0,0.81
 48-58,0,0,0,68.86,2.3,0,176.16,0,262.23,111.89,47.05,1.15,0.57,1.72,1.72,0.57,1.15,0.57,1.15,8.03,99.27,2.3,1.15,25.25,469.95,3.44,2.87,2.87,0,0,26.4,0.57,0.57,0.57,0,96.97,0,0,5.74,0,9.75
 60-70,0,0,0,63.8,0.98,0,179.62,1.96,296.42,156.06,30.43,1.96,0,0.98,0.98,0,0.98,1.96,1.96,0.98,88.34,3.93,1.96,18.65,306.23,3.93,0,0.98,0,0,69.69,0,1.96,0,0,56.93,0.98,3.93,7.85,0,7.85
 72-82,0,0.98,0,89.33,22.58,2.94,262.1,0.98,262.1,252.29,76.57,7.85,0,5.89,5.89,0.98,1.96,8.83,3.93,0.98,209.09,3.93,4.91,37.3,492.79,8.83,10.8,6.87,0,1.96,99.15,0,2.94,0.98,0,33.38,2.94,1.96,19.63,5.89,6.87
 84-94,0,0,0,125.32,15.93,0,164.62,0,456.68,180.55,46.73,9.56,0,4.25,8.5,3.19,3.19,1.06,2.12,4.25,116.82,5.31,6.37,23.36,204.97,3.19,2.12,6.37,0,2.12,135.94,0,3.19,2.12,0,15.93,5.31,2.12,5.31,6.37,3.19
 96-106,0,5.46,1.09,196.71,45.9,12.02,249.17,8.74,491.78,183.6,83.06,22.95,0,5.46,25.14,12.02,3.28,8.74,21.86,0,244.8,5.46,12.02,28.41,370.48,13.11,14.21,13.11,0,3.28,291.79,0,0,1.09,0,14.21,4.37,5.46,26.23,14.21,6.56
108-118,0.77,3.06,0.77,168.51,32.94,11.49,157.02,3.06,654.13,173.11,59.75,22.98,0,3.06,9.19,3.83,6.13,8.43,11.49,2.3,215.24,5.36,5.36,36.77,437.36,5.36,6.13,10.72,0,5.36,178.47,0,3.83,0.77,0,13.02,3.06,6.89,18.38,1.53,7.66
120,3.92,0,1.96,150.9,41.16,3.92,113.67,0,493.87,205.78,58.79,5.88,0,1.96,7.84,1.96,3.92,3.92,7.84,0,145.02,3.92,5.88,29.4,278.29,3.92,5.88,3.92,0,0,90.15,0,3.92,0,0,0,3.92,3.92,11.76,1.96,0
