stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,lateral_line,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,600.7,0,0,0,0,0,0,0,0,0,12.26,0,6.13,12.26,0,0,0,0
  7-9,15.77,10.51,34.17,0,13.14,0,0,0,21.03,0,0,199.78,13.14,89.38,0,0,0,0,0
 10-12,0,6.29,6.29,0,12.59,0,0,0,6.29,0,0,100.7,3.15,18.88,0,3.15,0,3.15,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,13,1,0,0,0,2,0,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
