stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,40,21,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,26,0,0,16,30,1,0,2,0,0,1,0,5,2,13,5,0,0,10,0,0
 24-34,0,0,0,9.03,2.46,0,0.82,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0.82,15.6,0,1.64,3.28,21.34,0,0,0,0,0,0.82,0,0,0,1.64,3.28,0,0,21.34,0,0.82
 36-46,0,0,0,4.83,0.81,0,3.22,0,1.61,0,4.83,0,0,2.42,0.81,0,0,0,0.81,0,20.14,0,0.81,2.42,31.42,0.81,0.81,0.81,0,0,0,0,0,0,0,8.86,0,0.81,11.28,0,0
 48-58,0,0,0,1.15,2.87,0,5.16,0,0.57,0.57,4.02,0,0,0,1.15,0,0,0,0,0,17.79,0,3.44,1.15,9.18,0,0,0,0,0,0,0,0,0,0,3.44,0,0,8.03,0,0
 60-70,0,0,0,2.94,1.96,0,1.96,0.98,0,0,4.91,0.98,0,1.96,0.98,0,0.98,0,0,0,35.33,0,0.98,3.93,19.63,0,0.98,1.96,0,0,0,0,0,0,0,0,0,4.91,3.93,0.98,0
 72-82,0,0,0,4.91,11.78,0,4.91,0,0,0,5.89,0,0,1.96,4.91,0,0,0.98,0,0,35.34,0,2.94,3.93,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0.98,16.69,1.96,0.98
 84-94,0,0,1.06,13.81,13.81,1.06,4.25,0,2.12,0,4.25,0,0,3.19,9.56,1.06,0,2.12,0,0,25.49,0,8.5,5.31,12.74,0,0,0,0,1.06,0,0,0,0,0,2.12,1.06,1.06,19.12,1.06,1.06
 96-106,0,0,0,14.21,12.02,0,3.28,0,0,1.09,1.09,2.19,0,1.09,12.02,2.19,1.09,3.28,0,0,21.86,0,2.19,0,18.58,0,1.09,0,0,2.19,1.09,0,0,0,0,1.09,0,1.09,21.86,5.46,0
108-118,0,0,0,15.32,8.43,0.77,6.89,0,4.6,3.06,4.6,0.77,0,3.06,3.83,0,2.3,2.3,0,1.53,34.47,0.77,0,0,12.26,0.77,2.3,0,0,1.53,0,0,0,0.77,0,0,0,2.3,14.55,1.53,0
120,0,0,0,13.72,21.56,0,0,0,0,0,1.96,1.96,0,0,5.88,0,1.96,0,1.96,0,15.68,0,0,0,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,9.8,0,0
