stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,3,0,0,0,3,0,3,2,0,0,4,0,5,0,0
 24-34,0,0.82,0,0,0.82,1.64,0,3.28,9.03,0,0,0,0,0.82,2.46,0.82
 36-46,0,1.61,0.81,0,0.81,2.42,0,1.61,26.59,0,0,0,0,0,12.89,0
 48-58,0,0,0.57,3.44,0,1.15,0.57,1.15,22.38,0,0,0,0,0,8.61,0
 60-70,0,0,3.93,1.96,0,11.78,0,1.96,46.13,0,0,0,0.98,0,13.74,2.94
 72-82,0,0,7.85,1.96,0,5.89,0,0.98,35.34,0,0,0,0,0,5.89,1.96
 84-94,0,0,1.06,2.12,0,5.31,0,0,16.99,0,0,0,1.06,0,1.06,1.06
 96-106,0,0,1.09,0,0,5.46,1.09,1.09,21.86,0,0,0,0,0,2.19,0
108-118,0,0.77,3.83,0,0,6.13,0,0,17.62,0,0,0,0,0,2.3,0.77
120,0,1.96,0,0,0,0,1.96,3.92,15.68,0,0,0,0,0,0,0
