stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,33,3,0,0,1,7,0,0,0,17,0,0,0
 24-34,0,7.39,3.28,71.41,0,0,0.82,0,1.64,0.82,0,1.64,2.46,0,36.94,0,0,13.95,285.66,0,1.64,2.46,6.57,0,0,0,1.64,67.31,0,9.03,0
 36-46,0.81,5.64,4.83,66.87,0,0.81,1.61,0,0.81,0,0,0,0,0.81,12.09,0,0,4.03,144.21,0.81,1.61,4.83,2.42,0,0,0,0,24.98,0,3.22,0
 48-58,0,6.31,4.02,59.1,0.57,0,3.44,1.15,0.57,0,0.57,0.57,0.57,0.57,13.77,0.57,0.57,1.72,77.46,0.57,0,1.15,0.57,0,0,0,0,9.18,0,1.15,0
 60-70,0,14.72,0.98,72.63,0,0,3.93,1.96,0,0,0,2.94,1.96,0.98,31.41,0.98,3.93,3.93,78.52,0,0,0.98,0.98,0,0.98,0.98,0,5.89,0,4.91,0
 72-82,0.98,4.91,0,29.45,0,0,4.91,1.96,0,0,0,1.96,0.98,0,18.65,0,0,1.96,29.45,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,0,11.68,0,0,2.12,1.06,0,1.06,0,0,0,1.06,16.99,0,2.12,5.31,15.93,0,0,1.06,1.06,0,0,0,0,1.06,1.06,3.19,0
 96-106,0,0,0,3.28,0,0,0,1.09,0,0,0,0,0,0,6.56,0,0,0,4.37,0,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0.77,2.3,0.77,13.79,0,0,0.77,0,0,0.77,0,0,1.53,0,5.36,0,0,0,12.26,0,0,0.77,0.77,0,0,0,0,0,0.77,3.06,0
120,0,3.92,9.8,50.95,0,0,7.84,0,0,3.92,0,0,0,0,9.8,0,0,1.96,56.83,0,0,0,5.88,0,0,0,0,0,0,7.84,1.96
