stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,0,0,6,1,0,0,0,0,0,1,0,26,5,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0.82,0.82,73.06,0,0,0,0,4.1,0,0,1.64,17.24,6.57,0,0,0,0,0,0.82,0,6.57,2.46,0,4.1,0,0.82
 36-46,0,0,0.81,0,0,0.81,0,2.42,0,0,1.61,0,0,103.13,0,0.81,0,0.81,1.61,0,0,0,18.53,4.83,0,0,0,0,0,5.64,0,0,3.22,0,7.25,0,0.81
 48-58,0.57,0,0.57,0,0,0.57,0,18.94,0,0,1.72,0,0,102.71,0,6.31,0,1.15,9.18,0.57,0,1.72,33.28,2.3,0,0,0,0,0.57,1.72,0.57,0,2.87,0,12.05,0,0
 60-70,0,0,0.98,0,1.96,4.91,0,31.41,0,0,9.82,0,0.98,77.54,0,3.93,0,1.96,17.67,0,0.98,2.94,54.97,1.96,0,0,0,0,0,2.94,0,0,0.98,0,20.61,0,0.98
 72-82,0,0,0.98,1.96,2.94,3.93,0,27.49,0.98,0,4.91,0,0,199.28,0.98,11.78,0.98,2.94,31.41,0.98,0.98,3.93,56.94,0.98,0.98,0.98,0,0,0,9.82,0,0,1.96,0.98,39.27,1.96,0
 84-94,1.06,0,0,2.12,0,9.56,0,20.18,0,0,2.12,0,0,238.96,0,20.18,0,6.37,38.23,0,0,0,23.36,3.19,0,2.12,0,0,1.06,13.81,0,0,0,2.12,47.79,0,0
 96-106,0,0,1.09,5.46,5.46,3.28,0,19.67,0,0,4.37,1.09,1.09,338.78,1.09,16.39,0,8.74,24.04,2.19,1.09,2.19,41.53,0,0,3.28,0,1.09,2.19,44.81,0,0,0,0,75.41,0,0
108-118,0,0,0,3.83,1.53,2.3,1.53,9.19,1.53,0.77,3.06,1.53,0,268.09,0,15.32,0,1.53,14.55,0,0,6.13,39.06,0,0,0,0,0.77,0,20.68,0,0,0,0,48.26,0,2.3
120,0,0,0,0,3.92,1.96,0,9.8,0,0,3.92,0,0,248.89,0,17.64,0,3.92,15.68,0,0,5.88,21.56,0,0,0,0,0,0,27.44,0,0,0,0,45.08,0,0
