stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,34,2,2,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,4.93,0,0,0,2.46,0,0,9.03,0.82,0,0,0,0,51.71,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,6.45,0,0,0,1.61,0,0.81,4.83,0,0,0,0,0,8.86,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,4.02,0,0,0,2.3,0,1.72,2.87,0,0,0,0,0,1.72,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0.98,2.94,0.98,0,0,2.94,0,0,0,4.91,0.98,0.98,8.83,0,0,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0.98,0.98,0,12.76,0,0.98,0.98,1.96,0,0.98,0,10.8,0.98,0,4.91,0,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,0,10.62,0,1.06,6.37,2.12,0,0,0,3.19,1.06,3.19,3.19,0,0,0,1.06,0,2.12,0,0,0,0,1.06,1.06
 96-106,0,0,2.19,0,0,10.93,0,0,3.28,8.74,0,0,1.09,5.46,3.28,1.09,0,0,1.09,0,0,1.09,2.19,0,0,3.28,0,1.09,0
108-118,0,0.77,0.77,0,3.06,13.02,0,2.3,3.06,6.13,0.77,0,0,7.66,0.77,0.77,6.13,0.77,0.77,0,0,0,0.77,0,0,0.77,0,0,0
120,0,0,1.96,0,0,3.92,0,0,1.96,0,0,1.96,0,3.92,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0,1.96,0
