stage,blastomeres,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,2.46,0.82,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0.81,4.83,0,0,1.61,0
 48-58,0,1.72,0.57,0,0,0,0,0.57,4.59,0,0,1.72,0
 60-70,0,0.98,0,0,0.98,0.98,0,0,12.76,0,0,2.94,0.98
 72-82,0,2.94,0,0,0.98,0,0,0,11.78,0,0,0.98,0
 84-94,0,3.19,0,0,0,0,0,1.06,8.5,0,0,1.06,0
 96-106,0,5.46,0,0,1.09,0,1.09,0,6.56,0,0,2.19,0
108-118,0,1.53,0,0,3.06,0,0,0,7.66,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0
