stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,2070,6,0,0,0,15,0,0,3,4,2,0,12,0,0,0,0,11,15,0,6,19,1,1,1,0,15,3,1,2,4,12,0,0,1,0,0
 24-34,0,1.64,1506.27,0.82,0,14.78,0,129.7,0,2.46,0,1.64,1.64,2.46,2.46,0,0.82,1.64,0.82,19.7,28.73,0.82,15.6,103.43,0.82,4.1,2.46,0,7.39,0,0,0,0.82,25.45,0,0,3.28,0,0.82
 36-46,0,0,824.2,0,0,12.89,0,179.66,2.42,2.42,0,0,4.03,1.61,0.81,0,0.81,0.81,0,12.89,12.89,1.61,5.64,74.93,0.81,4.83,1.61,0,8.86,0,0.81,0.81,0,16.11,0,0,1.61,0,0.81
 48-58,0,0,736.77,0,0,30.99,0,245.01,1.15,6.89,0,0,1.15,5.16,0.57,0,0.57,0,0.57,22.38,10.9,1.72,4.59,64.84,0,2.87,3.44,0,1.15,0,0,0.57,0,13.77,0,0,0.57,0,1.72
 60-70,0,0.98,801.9,0,0,23.56,0,237.53,1.96,1.96,1.96,0,0.98,13.74,1.96,0,5.89,0,0,42.21,14.72,2.94,9.82,48.09,0,1.96,7.85,1.96,2.94,0,1.96,0,0,9.82,1.96,0,0.98,0.98,1.96
 72-82,0,2.94,911.96,1.96,0,21.6,0,242.47,2.94,10.8,5.89,0,1.96,9.82,6.87,0,3.93,0,0,52.03,14.72,4.91,7.85,58.9,0,12.76,8.83,0,3.93,0,0,0,0,2.94,4.91,0.98,2.94,0.98,0.98
 84-94,1.06,0,1866,2.12,0,16.99,0,471.54,2.12,8.5,12.74,0,2.12,35.05,20.18,2.12,1.06,0,0,57.35,24.43,1.06,11.68,32.92,1.06,14.87,11.68,0,6.37,0,1.06,0,0,4.25,24.43,0,2.12,3.19,2.12
 96-106,0,2.19,2160.56,4.37,0,33.88,1.09,495.06,1.09,9.84,34.97,0,0,24.04,18.58,0,3.28,1.09,0,52.46,39.34,4.37,9.84,71.04,1.09,22.95,17.49,0,13.11,0,2.19,0,0,1.09,20.76,0,6.56,1.09,1.09
108-118,0,0,2268.78,1.53,0.77,17.62,0,680.18,3.06,6.13,71.23,0,1.53,26.81,16.09,0,5.36,0.77,0.77,63.57,19.15,0.77,8.43,49.02,0,19.15,15.32,1.53,6.89,0,1.53,0,0,1.53,59.75,3.06,2.3,2.3,2.3
120,0,0,1275.82,1.96,0,7.84,0,413.51,0,5.88,25.48,0,0,23.52,13.72,0,1.96,1.96,0,25.48,19.6,0,3.92,50.95,3.92,11.76,15.68,0,3.92,0,1.96,0,0,0,15.68,1.96,1.96,1.96,0
