stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,5
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,5.75,0,0.82,0,0,0.82,0,2.46
 36-46,0,0,0,0,0.81,0.81,0,0,0,0.81,6.45,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0.57,1.15,0.57,6.31,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,6.37,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0,0.77,3.06,0,0,1.53,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
