stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,65.72,2.63,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,113.29,9.44,0,0,34.62,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,4,5,1,0,59,0,0,0,0,0,0,4,0,4,52,6,1,2,1,5,16,6,358,0,0,0
 24-34,0,0,0.82,0,1.64,0,2.46,1.64,71.41,1.64,0,0,0,0,0,3.28,0,2.46,45.97,0.82,9.85,2.46,0,0,4.93,8.21,279.09,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,49.95,0.81,0,0,0,0,0,0.81,0,2.42,21.75,0.81,12.89,0,0,0,6.45,0,99.1,0,0.81,0
 48-58,0,0,0,0,0,0,3.44,1.72,41.31,0,0,0,0,0,0,3.44,0,0,9.18,0,5.74,0.57,0,0,1.15,0,74.59,0,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,47.11,0,0,0,0.98,0,0,1.96,0,0,10.8,0,4.91,0.98,0,0,0.98,0,51.04,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,1.96,87.37,0,0,0,0,0,0,5.89,0,1.96,10.8,0,10.8,3.93,0,0,1.96,0,51.05,0,0,0
 84-94,0,0,1.06,0,0,0,5.31,1.06,62.66,0,0,0,1.06,0,0,2.12,1.06,0,7.43,0,6.37,1.06,0,0,3.19,0,53.1,0,0,0
 96-106,0,0,0,0,0,1.09,7.65,0,61.2,0,0,0,2.19,1.09,0,4.37,0,1.09,10.93,0,10.93,3.28,0,0,4.37,0,38.25,1.09,0,0
108-118,0,0,0,0,2.3,0.77,0.77,0,49.02,0.77,0,0.77,3.06,0,0.77,3.83,0.77,0.77,16.85,0,4.6,1.53,0,0,5.36,0,29.87,0,0,0
120,0,0,0,0,0,0,5.88,0,27.44,0,0,0,0,0,0,3.92,0,0,15.68,0,5.88,3.92,0,0,1.96,0,25.48,0,0,0
