stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,6,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,3,0,1,31,5,0,0,0,0,4,1,3,1,13,13,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,8.21,0,0,0,2.46,0,0,3.28,0,0.82,0,0,0,3.28,8.21,0,2.46,34.48,0,0,0,0,0,9.03,0,0,0,3.28,13.95,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,0,0,7.25,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,0,0,4.83,0,0.81,12.09,0,0,1.61,0,0,8.86,0,1.61,0,0,6.45,0,1.61,0,0.81
 48-58,0,0,0,0,1.15,0,0,6.31,0.57,0.57,0,0.57,0,0,0,0.57,0,0,0.57,0,0.57,5.74,0.57,1.15,6.89,0.57,0,0.57,0,0,2.3,0,0,0,0,1.15,0,1.15,0,1.72
 60-70,0,0,0,0,1.96,3.93,0,9.82,0,0,0,5.89,0.98,0,0,1.96,0,0,0,0,0.98,6.87,0.98,0.98,3.93,0,1.96,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,3.93,0,9.82,0,0,1.96,2.94,0,0,0.98,1.96,0,0,0,0,0,10.8,0.98,0,5.89,0,1.96,0,0,0.98,5.89,0,0,0,0,0,0,3.93,0,0.98
 84-94,0,0,0,0,3.19,5.31,0,16.99,0,4.25,1.06,5.31,1.06,0,1.06,2.12,1.06,1.06,1.06,1.06,1.06,9.56,1.06,0,3.19,0,0,0,0,0,15.93,0,0,0,0,0,0,1.06,2.12,2.12
 96-106,0,0,1.09,0,1.09,2.19,0,3.28,0,1.09,0,4.37,1.09,0,0,4.37,1.09,2.19,1.09,0,3.28,5.46,0,1.09,4.37,1.09,1.09,0,0,0,13.11,0,0,0,0,0,0,3.28,1.09,0
108-118,0,0,0,0,2.3,3.06,1.53,11.49,0,1.53,0,3.06,2.3,0,0,4.6,0.77,0,0,0.77,1.53,5.36,0,0,9.96,0,0,0.77,0,0.77,9.96,0,0,0,0,0,1.53,2.3,0.77,1.53
120,0,0,0,0,0,5.88,0,11.76,0,0,0,1.96,3.92,0,0,1.96,3.92,0,0,0,0,7.84,1.96,0,1.96,0,0,0,0,0,7.84,0,1.96,0,0,0,0,5.88,0,1.96
