stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.94,0,31.47,0,0,0,226.58,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,1412.99,3.15,0,0,37.76,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,794,33,0,497,0,5,0,23,0,1,1,0,1,0,1,0,109,3,0,47,3095,56,11,4,30,0,3,11,72,3,10,494,0,0,9,0,0
 24-34,0.82,0.82,0,4.1,458.04,4.1,0,264.32,0,24.63,0,110.82,0.82,0,0.82,0,0.82,1.64,2.46,0.82,61.56,7.39,0,18.06,2300.04,0.82,23.8,2.46,0,0,1.64,0,13.13,0.82,0,778.99,0,0,59.92,0,1.64
 36-46,0,0,0,0,269.09,0,0,114.41,0,40.28,0,202.22,3.22,0,1.61,0,0.81,0.81,2.42,0,41.89,3.22,7.25,11.28,1442.15,2.42,4.03,2.42,0,0,3.22,0,7.25,0,0,653.4,0,0,32.23,0,0
 48-58,0.57,0,0,0.57,255.34,0.57,0,71.15,0,82.05,1.15,210.59,0.57,0.57,5.16,0.57,0.57,0,5.74,0,56.81,3.44,18.94,9.75,642.66,1.72,1.72,8.03,0,1.72,2.87,0,4.59,0,0,294.36,0,0.57,17.79,0.57,1.15
 60-70,0,0,0,0,167.84,0.98,0,132.51,0,56.93,1.96,234.58,8.83,0,12.76,0.98,7.85,0,3.93,0.98,103.06,0.98,30.43,10.8,330.77,0.98,1.96,2.94,0,0,1.96,0,1.96,0,0,61.84,4.91,6.87,16.69,8.83,0
 72-82,0,0,0,2.94,153.14,0.98,0,343.58,0.98,50.06,2.94,265.05,15.71,0,12.76,1.96,8.83,1.96,8.83,0.98,162.96,1.96,30.43,7.85,300.39,0,3.93,14.72,0,1.96,1.96,0,7.85,0,0,19.63,4.91,15.71,28.47,18.65,1.96
 84-94,0,0,4.25,5.31,226.21,1.06,0,229.4,0,104.08,0,176.3,22.3,0,5.31,0,19.12,0,4.25,5.31,128.51,2.12,37.17,5.31,190.1,1.06,2.12,4.25,0,6.37,4.25,0,14.87,0,0,14.87,18.05,8.5,30.8,26.55,0
 96-106,0,0,2.19,9.84,207.64,3.28,0,230.59,0,77.59,1.09,171.58,25.14,0,12.02,2.19,22.95,0,10.93,7.65,124.58,1.09,18.58,14.21,177.04,0,3.28,13.11,0,14.21,5.46,0,2.19,0,0,7.65,52.46,4.37,36.06,37.16,0
108-118,0,0,0,6.13,121.79,0.77,0,138.64,0,71.23,3.06,139.41,22.21,0,5.36,1.53,16.09,0.77,3.83,6.13,117.19,2.3,13.79,9.96,200.68,0,5.36,8.43,0,12.26,3.06,0,16.85,0,0,4.6,53.62,6.89,24.51,23.74,0.77
120,0,0,0,0,80.35,0,1.96,66.63,1.96,25.48,0,113.67,15.68,0,7.84,0,7.84,0,3.92,1.96,90.15,0,7.84,9.8,190.1,0,0,11.76,0,3.92,7.84,0,1.96,0,0,5.88,21.56,7.84,37.24,11.76,0
