stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,23,6,14,0,0,6,1,0,0,0,0,0,0,16,0,0,16,214,3,0,1,5,0,0,1,16,3,1,12,73,0,0,1,0,0
 24-34,0,0.82,5.75,0,42.68,0.82,0,4.93,2.46,0,0,0.82,0,0,0,30.37,0,0,12.31,253.64,1.64,3.28,4.1,0,0,9.03,0,0,0,0,4.93,44.33,0,0,2.46,0,1.64
 36-46,0,0,4.03,0,33.84,0,0,13.7,0.81,0.81,0.81,0,0,0,0,20.14,0,0,3.22,134.55,0.81,4.03,2.42,0,0,2.42,0,0,0,0,0,32.23,0,0,1.61,0,0
 48-58,0,0,3.44,0,51.64,0.57,0,19.51,0.57,0,1.15,0.57,0.57,0,0.57,41.31,1.15,1.15,1.72,125.09,0,1.15,1.72,0,0,2.3,0,0,0,0,0,28.12,0,0,2.3,0,0
 60-70,0,0,3.93,0,41.22,0,0,14.72,2.94,0,0,0,0.98,0,0,12.76,0,2.94,1.96,92.26,0,0,1.96,0,0,0.98,0,0,0.98,0,0,9.82,0,0,3.93,0,0
 72-82,0,0,5.89,0,47.12,0,0,23.56,0,0.98,0,2.94,0.98,0,0,41.23,0.98,3.93,3.93,94.24,0,2.94,1.96,0,0,0.98,0,0,0,0,0,13.74,0,0,5.89,2.94,1.96
 84-94,0,1.06,6.37,0,27.61,1.06,1.06,8.5,2.12,1.06,0,0,2.12,0,0,15.93,0,1.06,4.25,43.54,0,1.06,2.12,0,0,5.31,0,0,0,0,0,2.12,0,1.06,0,0,2.12
 96-106,0,0,2.19,0,17.49,1.09,4.37,14.21,2.19,1.09,2.19,0,0,1.09,0,25.14,0,2.19,3.28,33.88,1.09,4.37,1.09,0,1.09,4.37,0,0,0,0,0,3.28,2.19,1.09,3.28,1.09,0
108-118,0,0,7.66,0,16.85,0,0.77,17.62,1.53,0.77,0.77,0,1.53,1.53,0,26.81,0,0.77,6.89,56.68,2.3,3.06,2.3,0,0.77,4.6,0,0,0.77,0,0,3.06,1.53,0.77,5.36,0,0
120,1.96,0,5.88,1.96,19.6,1.96,1.96,29.4,0,0,1.96,1.96,0,3.92,0,21.56,0,1.96,1.96,41.16,1.96,1.96,0,0,0,11.76,0,0,0,0,0,1.96,0,0,7.84,0,0
