stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,342.63,5600.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0
  5-6,251.32,3352.91,18.39,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,159.37,6.13,0,24.52,61.3,0,0,0,0,0,0,0
  7-9,28.92,34.17,60.46,0,0,73.6,0,0,0,26.29,0,0,0,0,0,0,0,841.19,21.03,0,328.59,2.63,7.89,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,0,267.49,18.88,0,163.64,0,15.73,0,9.44,0,0,0,0
 14-21,0,0,2,15,9,7,0,0,1,1,0,0,0,0,5,0,1,30,0,0,2,0,0,8,2,8,21,0,0
 24-34,0,0,0,0.82,35.3,2.46,0,0.82,0,0,0,0,0,0,3.28,0,1.64,12.31,0.82,0.82,0,1.64,0.82,0,0,0,22.16,0,0
 36-46,0,0,0,0,8.86,0.81,0,0,0,0,0.81,0.81,0.81,0,4.83,0,0.81,0.81,0,0,0,1.61,0,0,0.81,0,29.81,0,0
 48-58,0,0,0,0,21.8,0.57,0,1.15,0,0,0,0,0,0,3.44,0,0.57,9.75,0.57,0,0,1.72,0,0,0,0,22.95,0.57,0
 60-70,0,0,0,0.98,24.54,3.93,0.98,2.94,0,0,0,0,0,0,7.85,0,1.96,2.94,0,0.98,0,0.98,0,0,0,0,12.76,0,0
 72-82,0,0,0,0,36.32,9.82,0,0.98,0,0,0,0,0.98,0,7.85,0,1.96,10.8,0,0,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,42.48,5.31,1.06,0,0,0,0,0,0,0,6.37,0,1.06,11.68,0,1.06,0,0,0,0,0,0,3.19,0,1.06
 96-106,0,0,0,0,55.74,3.28,0,3.28,0,0,0,0,1.09,0,7.65,1.09,0,12.02,1.09,2.19,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,1.53,39.06,2.3,0,0.77,0,0,0,0,0.77,0,2.3,0.77,2.3,11.49,0.77,1.53,0,0,0.77,0,0,0,1.53,0,0
120,0,0,0,0,52.91,1.96,0,0,0,0,0,0,1.96,3.92,5.88,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0
