stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,31.47,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,7,2,0,0,0
 24-34,0,3.28,0,0,0,1.64,0,0,0,0,0.82,0,0.82,3.28,0,0.82,9.85,0,0,0,0,0,0,1.64,0,0.82,13.95,0,0,0
 36-46,0,2.42,0,0,0,0,1.61,0,0,0,0,0,0,2.42,0,0.81,16.92,0,0,0,0,0,0,0.81,0,0,12.89,0,0,0
 48-58,0,4.02,0,5.16,0,1.15,4.59,0,0,0,0,0,0,1.15,0,1.15,18.36,0,0,0,0.57,0,0,0,0,0,18.36,0,0,0
 60-70,0,2.94,1.96,29.45,0,0,7.85,0,0,0,0,0,0,6.87,0,0,83.43,0,0,0,0.98,0,0,0,0,0,31.41,0,0,0
 72-82,0,2.94,0.98,120.74,0,1.96,17.67,6.87,0.98,0,0,0,0,16.69,0,1.96,176.7,0,0,0,1.96,0,0,0,0,0,22.58,0,0,0
 84-94,0,9.56,0,60.54,0,1.06,9.56,9.56,1.06,0,0,0,0,10.62,0,0,103.02,0,0,0,0,0,0,0,0,0,8.5,0,1.06,1.06
 96-106,0,2.19,0,153,1.09,0,6.56,8.74,0,1.09,0,1.09,0,27.32,0,4.37,122.4,0,0,0,1.09,0,0,0,0,0,4.37,0,1.09,0
108-118,0,6.13,0,102.64,0,0,6.13,1.53,0,0,0,0,0.77,20.68,0.77,3.06,145.53,0,0,0,0.77,0,0,0,0.77,0,6.89,0,0,0
120,0,9.8,1.96,52.91,0,1.96,5.88,0,0,0,0,0,0,27.44,0,0,148.94,0,1.96,0,1.96,0,0,0,0,0,7.84,1.96,0,0
