stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,liver,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,1,0,4,1,0,1,0,1,0,3,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,3.28,0,0,0,0,0,0,13.95,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,4.03,1.61,0,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0,1.72,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,7.85,0,8.83,0,0.98,0,2.94,0,0,0,0,0,0,7.85,0,0,0.98
 84-94,0,0,0,0,0,7.43,2.12,13.81,0,2.12,0,3.19,0,0,0,0,0,0,14.87,0,0,0
 96-106,0,0,0,1.09,0,8.74,0,78.68,0,3.28,0,9.84,0,0,0,0,0,0,14.21,1.09,0,1.09
108-118,0,0.77,0.77,1.53,0.77,5.36,0,142.47,0.77,1.53,0.77,14.55,0,0.77,0,0,0.77,0,13.79,0.77,0.77,0
120,0,0,0,1.96,0,5.88,0,125.43,1.96,0,0,25.48,0,0,0,0,0,0,13.72,0,0,0
