stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,0,4.1,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0.57,0,1.72,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,0.98,1.96,0,13.74,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,1.96,0,8.83,0,0,0,30.43,0.98,3.93,0,0,0,0.98,49.08,0,50.06,0,3.93,0.98,16.69,0,2.94,0.98,0,0.98,0,0,0,0,0.98,0,8.83,6.87,9.82,0
 84-94,0,0,0,1.06,3.19,0,6.37,1.06,0,0,41.42,8.5,0,0,0,1.06,0,216.66,0,33.99,0,4.25,0,7.43,0,6.37,0,0,1.06,1.06,1.06,0,0,0,0,5.31,5.31,7.43,0
 96-106,0,3.28,0,19.67,9.84,1.09,53.55,1.09,4.37,0,104.91,68.85,7.65,4.37,3.28,0,1.09,562.82,0,150.81,1.09,20.76,9.84,149.72,0,65.57,6.56,0,5.46,16.39,10.93,1.09,0,10.93,3.28,24.04,28.41,12.02,1.09
108-118,0,0,0,10.72,5.36,4.6,40.6,0.77,0.77,2.3,97.28,189.19,8.43,2.3,0,3.83,1.53,1372.61,0.77,183.83,1.53,15.32,8.43,140.17,3.06,45.19,12.26,0,7.66,8.43,52.09,0,0,2.3,0,19.15,25.28,9.96,0
120,0,0,0,9.8,1.96,3.92,27.44,1.96,1.96,0,99.95,115.63,11.76,3.92,0,3.92,0,697.68,0,241.05,1.96,25.48,15.68,99.95,0,35.28,9.8,0,19.6,9.8,35.28,1.96,0,9.8,1.96,21.56,19.6,5.88,0
