stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,0,0,3,0,0,4,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,0,0,1.64,0,0,0,0,0,0,0,0,6.57,0,0,1.64,111.64,0,1.64,0.82,0,0,0.82,0,0,15.6,0,0,0,0
 36-46,0,0,0.81,0,12.09,0,0,0,8.86,0,0,0,0,0,0,0,0,12.09,0,0,0,278.76,0,1.61,0,0,0,0,0,0.81,20.95,0,0.81,0,0
 48-58,0,0,1.72,0,34.43,0,0,0.57,20.08,0,0,0,0,0,0.57,0,1.72,17.79,0,0,1.72,552,0,3.44,0,0,0,0,0,0,32.13,0.57,0.57,0,1.15
 60-70,0,0,2.94,0,71.65,0,1.96,1.96,29.45,0,0,0,0,0.98,0.98,0,3.93,37.3,0,1.96,2.94,1406.52,0,5.89,0,0,0,0,0,0,57.91,0,0,0,0
 72-82,0,0.98,8.83,3.93,131.54,0,0.98,1.96,29.45,0,0,0.98,0,0,0,0.98,0.98,48.1,0,0.98,1.96,1672.75,0,3.93,0.98,0,0.98,6.87,0,0,66.75,1.96,0.98,5.89,0.98
 84-94,0,0,14.87,1.06,130.63,0,1.06,3.19,36.11,0,1.06,2.12,0,1.06,1.06,0,3.19,33.99,1.06,0,2.12,868.75,1.06,2.12,1.06,0,1.06,2.12,1.06,0,33.99,1.06,1.06,3.19,2.12
 96-106,0,1.09,8.74,4.37,80.87,1.09,0,0,21.86,0,1.09,1.09,1.09,0,0,1.09,4.37,32.79,2.19,1.09,2.19,661.17,0,6.56,1.09,0,1.09,3.28,0,0,18.58,2.19,1.09,5.46,2.19
108-118,0,0,7.66,2.3,39.83,0.77,0,1.53,19.92,0,0,0,0,0,0,0,4.6,21.45,0,0.77,0.77,808.09,0,0.77,0.77,0,0.77,1.53,0,0,12.26,0,0,5.36,1.53
120,0,0,11.76,1.96,50.95,0,0,0,7.84,0,0,3.92,0,1.96,0,0,0,23.52,0,0,1.96,1054.36,0,5.88,0,0,0,1.96,0,0,21.56,0,1.96,7.84,0
