stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0.82,0.82,3.28,0,0,6.57,0.82,0,0,0
 36-46,0,0.81,0,0.81,4.83,0,0,0,0,0,2.42,4.03,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,1.15,9.18,0,4.59,0,0,1.15,0,4.59,0,0.57,0.57,0,1.15,0,0
 60-70,0,0.98,0,0,4.91,0,28.46,0,0,1.96,0.98,8.83,0,0,5.89,0,0,0,0
 72-82,0,0,0,7.85,4.91,0.98,132.52,0,0,1.96,1.96,14.72,0,0,1.96,0,1.96,0,0
 84-94,0,0,0,3.19,1.06,0,78.59,0,0,3.19,0,7.43,0,1.06,2.12,0,0,1.06,0
 96-106,0,1.09,1.09,1.09,1.09,0,166.11,1.09,0,3.28,2.19,15.3,0,0,4.37,0,0,0,1.09
108-118,0,0,0,2.3,4.6,0,132.51,0,0,1.53,0,14.55,0,0.77,0.77,0,0,0.77,0
120,0,0,0,3.92,1.96,1.96,123.47,0,0,3.92,3.92,9.8,0,0,3.92,0,1.96,0,0
