stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,5,1,0,0,0,1,0,3,2,0,1
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,0.82,0.82,6.57,0,0,0,0,0,0,0.82,2.46,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0.81,6.45,0.81,0.81,0,1.61,0,0.81,0,2.42,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0,1.72,0.57,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0,2.94,0,1.96,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0,10.8,0.98,5.89,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 84-94,0,0,3.19,0,4.25,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,3.19,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,1.09,0,0,0,1.09,0,1.09,1.09,0,1.09,0,0,3.28,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0.77,2.3,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92
