stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,2.63,0,0,0,57.83,0,0,21.03,0,2.63,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,12.59,0,0,12.59,0,0,3.15,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0.82,0,0,0,0,2.46
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,3.22,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0,0,0,0,0,1.15
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0
