stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,12,100,32,0,23,0,2,0,15,7,2,6,0,3,0,1,1,0,66,0,0,48,249,39,0,3,18,0,4,2,53,38,2,63,182,0,0,9,0,10
 24-34,0,3.28,4.93,51.71,4.93,0,62.39,0,10.67,1.64,32.83,4.1,0,4.93,2.46,13.13,0.82,4.1,1.64,6.57,115.74,3.28,0,65.67,357.07,10.67,6.57,15.6,0,0.82,8.21,0,0,40.22,1.64,13.13,163.35,0,0,36.94,0,45.15
 36-46,0,0.81,0,8.06,0.81,0,81.37,0,1.61,10.47,68.48,0,0,3.22,9.67,4.03,1.61,5.64,1.61,5.64,172.41,1.61,3.22,49.15,373.83,15.31,4.83,10.47,0,0,8.06,0,0.81,26.59,0.81,0,148.24,0,0.81,20.14,0,41.89
 48-58,0.57,0,0.57,5.16,2.87,0,86.64,0.57,2.3,11.48,123.37,0,1.15,2.87,11.48,2.3,4.02,8.61,2.3,1.72,239.85,4.59,5.16,37.3,192.8,6.89,2.87,8.61,0,1.15,4.59,0,0,9.75,1.15,0,123.37,0,0.57,20.08,1.15,47.05
 60-70,0,0,0,19.63,1.96,0,88.34,0.98,3.93,18.65,172.75,0.98,0,0.98,20.61,2.94,0.98,3.93,2.94,0.98,335.68,6.87,11.78,28.46,116.8,0.98,5.89,15.7,0,2.94,7.85,0,0,7.85,0,0,63.8,1.96,5.89,12.76,1.96,34.35
 72-82,0,10.8,2.94,29.45,13.74,0,135.47,2.94,1.96,18.65,226.76,14.72,0.98,7.85,25.52,7.85,2.94,14.72,1.96,2.94,527.15,6.87,16.69,51.05,155.1,1.96,6.87,38.28,0,3.93,12.76,0,0,11.78,0,0,38.28,4.91,15.71,40.25,12.76,26.5
 84-94,0,12.74,1.06,43.54,4.25,0,138.06,1.06,5.31,11.68,134.88,22.3,0,4.25,54.16,7.43,6.37,7.43,9.56,3.19,323.92,12.74,15.93,20.18,105.14,8.5,9.56,31.86,0,0,27.61,1.06,0,22.3,0,0,36.11,3.19,15.93,24.43,7.43,16.99
 96-106,0,17.49,8.74,42.62,13.11,0,133.33,0,6.56,6.56,155.18,40.44,0,6.56,44.81,10.93,9.84,18.58,5.46,3.28,316.93,9.84,12.02,15.3,85.24,5.46,16.39,55.74,0,3.28,33.88,1.09,0,17.49,0,0,31.69,4.37,14.21,43.71,20.76,13.11
108-118,0,6.89,9.96,48.26,7.66,1.53,140.17,3.06,7.66,6.89,132.51,31.4,0,4.6,33.7,6.89,12.26,8.43,13.79,1.53,238.21,6.13,6.13,16.09,100.34,6.13,10.72,36.77,0,1.53,19.92,0,0,15.32,0,0,16.09,5.36,6.89,30.64,8.43,11.49
120,0,3.92,1.96,37.24,3.92,1.96,62.71,0,1.96,3.92,68.59,29.4,0,1.96,60.75,7.84,11.76,13.72,7.84,1.96,125.43,3.92,1.96,11.76,64.67,13.72,5.88,21.56,0,3.92,19.6,0,0,5.88,1.96,0,13.72,3.92,3.92,21.56,9.8,9.8
