stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,0,1,0,0,9,0,0,0,0,1,0,1,6,0,0,0,1,0,0,4,1,38,0,1,0,0
 24-34,0,0.82,0,4.93,0,4.1,0,0,10.67,0,0,0.82,0.82,2.46,0,2.46,113.28,0,13.95,10.67,0,0.82,0.82,4.1,0,44.33,0,0,0,0
 36-46,0,0.81,0,3.22,0,3.22,0,0.81,4.83,0,0,0.81,0,3.22,0.81,0.81,139.38,0,22.56,3.22,0,0,0.81,3.22,0,60.43,0,0,0,0
 48-58,0,0,0,0,0,6.89,0,0,4.02,0,0,2.3,0,3.44,0,0,146.32,0,17.21,6.31,0,0,0,2.3,0,37.87,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,14.72,0,0,4.91,0,0,7.85,0,8.83,0,0.98,264.03,0.98,16.69,15.7,0,0.98,0,1.96,0,15.7,0,0,0,0
 72-82,0,3.93,0,0.98,0.98,16.69,0,0,12.76,0,0,17.67,0,7.85,0,0,211.06,0,31.41,36.32,0,0.98,0,0.98,0,11.78,0,0.98,0.98,0.98
 84-94,0,3.19,0,0,0,11.68,0,0,5.31,1.06,0,26.55,0,7.43,1.06,0,57.35,0,35.05,62.66,0,2.12,0,7.43,0,15.93,0,1.06,0,0
 96-106,0,2.19,0,0,0,5.46,0,0,6.56,1.09,0,40.44,0,3.28,0,0,40.44,0,71.04,72.13,0,2.19,0,4.37,0,14.21,1.09,0,0,1.09
108-118,0,2.3,0,0.77,0,3.83,0.77,0,6.89,0.77,0.77,22.98,0,0.77,0,0,37.53,0,43.66,52.85,0,0,0,3.06,0,8.43,1.53,0,0,0
120,0,1.96,0,0,0,1.96,1.96,0,0,0,0,25.48,0,1.96,0,0,39.2,0,37.24,48.99,0,0,0,3.92,0,7.84,0,0,0,0
