stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,4928.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,582.32,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,5.26,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,105.15,5.26,0,0,34.17,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,6.29,0,12.59,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,135.32,15.73,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,18,5,0,4,0,0,0,1,7,2,0,0,0,0,0,0,6,0,0,2,58,3,1,2,3,0,0,0,11,1,5,54,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,3.28,0,0,0,0.82,0.82,2.46,0,0,0,0,0,0.82,9.03,0,0,3.28,294.69,0.82,11.49,0.82,0,0,0.82,0,0,0,1.64,118.2,0,0,0,0,1.64
 36-46,0,0,0,0,5.64,0,0,2.42,0,0.81,0,2.42,0,0,0,0,0.81,0,0,0,2.42,4.03,0,0.81,644.54,0,12.89,0.81,0,0,0.81,0,0,0.81,0,167.58,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,38.44,0,0,0.57,9.75,0,0,0,0,0,0,0,0,10.9,1.72,0,1.15,836.61,0,6.31,0,0,0,0.57,0,0,0,0,170.42,0,0,1.15,0,1.15
 60-70,0,0,0,0,8.83,1.96,0,174.71,0,1.96,0.98,12.76,3.93,0,0.98,0,0,0,0.98,0.98,12.76,3.93,0,0,1424.19,0,12.76,0,0,0,0,0,0,0,0,254.21,0.98,0,1.96,0,0.98
 72-82,0,0,4.91,0,12.76,2.94,0.98,250.32,0,0.98,0,16.69,9.82,0,0,0,0,0.98,0,0,17.67,3.93,0.98,0,1125.97,1.96,23.56,0,0,0,0,0,0,0,0,130.56,1.96,0,0,0.98,1.96
 84-94,0,0,3.19,0,24.43,1.06,0,148.69,0,1.06,0,12.74,18.05,0,0,3.19,0,1.06,1.06,1.06,7.43,4.25,3.19,1.06,475.79,0,12.74,3.19,0,0,5.31,0,0,0,0,64.78,5.31,0,1.06,0,0
 96-106,0,0,6.56,0,20.76,1.09,0,123.49,1.09,6.56,1.09,22.95,17.49,0,0,1.09,0,0,1.09,0,15.3,2.19,0,1.09,448.07,0,14.21,5.46,0,0,2.19,0,0,0,0,29.51,4.37,1.09,2.19,1.09,0
108-118,0,0,3.06,0,23.74,0,0,91.15,0,4.6,0,18.38,19.15,0,0,0.77,0.77,0,3.06,0,7.66,0.77,0.77,0.77,553.79,0,11.49,3.06,0,0.77,0.77,0,0,0,0,19.15,8.43,0,1.53,0,0.77
120,0,0,0,0,23.52,0,0,90.15,0,9.8,1.96,9.8,3.92,0,0,1.96,0,0,0,0,9.8,5.88,0,1.96,456.63,0,1.96,5.88,0,0,5.88,0,0,0,0,19.6,0,0,0,0,0
