stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,21,3,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,1,5,0,1,0,0
 24-34,0,4.93,0.82,0,0,9.03,0.82,0.82,0,0,0,0,0,0,0,6.57,0,0,0.82,9.03,0.82,0,0,0,0,0,0,0,1.64,9.03,0,10.67,0,0.82
 36-46,0,0,0,0.81,0,2.42,4.83,0,0,0,0.81,0,0,1.61,0.81,8.86,0,0,3.22,5.64,0,0.81,0,0,0,0,0,0,0,3.22,0,8.06,0,0
 48-58,0,1.15,0,1.72,0.57,2.87,0.57,0.57,0,0.57,0,0,0,0.57,1.15,12.62,0,0,1.72,8.61,0,0.57,0.57,0,0.57,0,0,0,0,1.72,0,3.44,0,1.15
 60-70,0,2.94,0,2.94,0,0.98,2.94,1.96,0,0,0,0,1.96,0,0,19.63,0,0,1.96,4.91,0,0.98,0,0.98,0,0,0,0,0,2.94,0,6.87,0,0
 72-82,0,4.91,0.98,3.93,0,0.98,5.89,7.85,0,1.96,0,0,0,0.98,0,31.41,0.98,1.96,0,14.72,0,0,0,0,0,0,0.98,0.98,0,0,0.98,14.72,0,0.98
 84-94,0,6.37,0,3.19,0,3.19,2.12,3.19,0,0,2.12,0,1.06,0,2.12,14.87,0,0,1.06,5.31,0,0,1.06,2.12,0,0,0,0,0,0,0,7.43,0,1.06
 96-106,0,14.21,1.09,2.19,0,2.19,1.09,0,0,0,0,0,2.19,1.09,0,18.58,0,0,0,6.56,0,0,1.09,1.09,0,0,1.09,0,0,1.09,0,5.46,2.19,2.19
108-118,0,4.6,0,3.06,1.53,0.77,1.53,0.77,0.77,0,0,0.77,3.06,0,0,14.55,0,0,1.53,3.06,0,0,0.77,1.53,0,0,0,0,0,0,0.77,1.53,0,0
120,0,3.92,0,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0,21.56,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
