stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,14.78,4.93,0,0,0,4.93,0,0,0
 36-46,0,0,0.81,0.81,0,0.81,0,0,0,2.42,0,0,16.11,6.45,0,0,0,0,0.81,0,1.61
 48-58,0,0,0,5.16,0,0.57,0,0,0,0.57,0,1.72,54.51,6.31,0.57,0,0,0,2.87,0,0
 60-70,0,0,0,6.87,0,0,0,0,0.98,6.87,0,0,70.67,3.93,0,0,0,0,3.93,0.98,2.94
 72-82,0,0,0.98,6.87,0,0.98,0,0,0,13.74,0.98,0,51.05,0.98,0,0,0,0,11.78,0.98,1.96
 84-94,0,0,0,4.25,0,0,0,0,0,2.12,1.06,0,19.12,2.12,0,0,1.06,0,8.5,0,2.12
 96-106,0,0,1.09,7.65,0,1.09,1.09,0,0,3.28,0,0,17.49,2.19,0,0,0,0,3.28,0,3.28
108-118,0,0,0,4.6,0,0.77,0,0,0,3.83,1.53,0,10.72,5.36,0,0,0,0,0,0.77,1.53
120,0,0,1.96,7.84,1.96,1.96,0,0,0,1.96,0,1.96,13.72,0,0,0,0,1.96,1.96,0,0
