stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,42.91,269.7,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,55.17,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,181.38,2.63,0,0,92,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,22.03,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,1,5,7,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,5,0,0,3,37,2,0,2,1,0,3,1,0,4,17,0,0,2,0,8
 24-34,0,0,4.1,0,9.03,0.82,0,4.1,0,0.82,3.28,1.64,0,0.82,4.1,0,0,0,0,1.64,0,9.85,0,0,4.93,194.54,3.28,0,0.82,0,0,4.1,0,0.82,2.46,29.55,0,0,18.88,0,38.58
 36-46,0,0,1.61,0,1.61,0.81,0,15.31,0,0,8.86,28.2,0,0,4.03,0,0,0,0,1.61,0,21.75,0.81,0,2.42,293.26,3.22,2.42,0,0,0,1.61,0,0,0,49.15,0,0,12.09,0,43.51
 48-58,0,0,0.57,0,5.74,0.57,0,29.84,0,0,34.43,60.82,0,0,2.3,0,0,0.57,0,1.15,2.3,55.66,0,1.15,6.89,231.24,0.57,0.57,1.72,0,0,2.3,0.57,0.57,0,41.31,0,0.57,8.61,0,64.84
 60-70,0,0,1.96,0,4.91,0,0,38.28,0,0.98,38.28,64.78,2.94,0,0,1.96,0,1.96,0.98,10.8,0,71.65,0.98,0,4.91,194.34,0.98,0,0.98,0,1.96,2.94,0,0,0,24.54,0.98,1.96,5.89,0.98,25.52
 72-82,0,0,5.89,0,13.74,0.98,0,51.05,0,0,99.15,68.72,13.74,0.98,1.96,0.98,0,0.98,0,22.58,0,124.67,0,1.96,14.72,253.27,0,3.93,6.87,0,0,3.93,0.98,0,0,10.8,0.98,2.94,7.85,1.96,32.39
 84-94,0,0,2.12,0,15.93,1.06,2.12,43.54,2.12,1.06,65.85,41.42,11.68,1.06,0,2.12,0,2.12,2.12,37.17,1.06,94.52,0,0,7.43,146.56,0,1.06,2.12,0,0,3.19,0,0,0,12.74,1.06,0,10.62,1.06,23.36
 96-106,0,0,5.46,0,19.67,3.28,3.28,40.44,2.19,0,67.76,39.34,30.6,0,6.56,4.37,0,2.19,1.09,68.85,0,95.08,2.19,1.09,7.65,135.51,0,6.56,6.56,0,0,5.46,0,0,0,8.74,3.28,1.09,7.65,1.09,36.06
108-118,0,0,3.83,0,11.49,0.77,0.77,36,0,3.83,58.98,26.04,19.92,0,1.53,2.3,2.3,0,0,88.09,1.53,78.89,0,0,6.13,163.15,0,0.77,3.06,0,0,3.83,0.77,0,0,8.43,0,3.83,5.36,1.53,22.98
120,0,0,7.84,0,9.8,1.96,0,31.36,0,0,64.67,19.6,17.64,0,1.96,3.92,0,1.96,0,72.51,0,72.51,0,0,1.96,129.35,0,1.96,1.96,0,0,3.92,0,0,0,11.76,1.96,1.96,3.92,0,5.88
