stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,0,1,0,1,0,0,1,4,4,0,0
 24-34,0,0,0.82,3.28,0,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,0.82,2.46,9.03,1.64,0,0,0,2.46,0,0,0,0.82,2.46,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,4.03,0,0.81,0,0,1.61,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0.57,0,0,0,0,0,0,1.72,0,0,1.15,1.15,0.57,0,0,1.15,0,0,0,0,2.3,0,0
 60-70,0,0,0,1.96,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0.98,0,0.98,0.98,0,2.94,0.98,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0.98,0,0.98,0,0.98,0.98,0.98,0,2.94,0,0,0,0,0,0,0,0.98,0,0,3.93,2.94,0,0,0,1.96,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,7.43,2.12,1.06,0,3.19,0,3.19,0,1.06,1.06,0,3.19,0,0,0,0,0,3.19,0,2.12,0,1.06,22.3,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,4.37,0,4.37,0,1.09,0,6.56,2.19,0,0,1.09,1.09,1.09,1.09,2.19,2.19,0,2.19,3.28,4.37,0,0,18.58,0,0,0,0,0,0,1.09
108-118,0,0,0,3.06,1.53,2.3,0,1.53,0.77,3.06,0.77,0,0,0,0.77,0,0.77,6.13,0,0.77,5.36,5.36,0.77,0,0,10.72,0,0.77,0,0,1.53,0.77,0
120,0,0,0,3.92,0,0,0,3.92,0,1.96,1.96,0,1.96,0,0,1.96,1.96,0,0,1.96,3.92,0,0,0,0,23.52,1.96,0,0,0,1.96,1.96,0
