stage,blastomeres,eye,fin.mesenchyme,glial,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,pgc,somites,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1
 24-34,0,30.37,0,0.82,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0.82
 36-46,0,24.17,0,0,0,0,0,0,0.81,0,0,0.81,12.89,0,2.42,0,0,0.81
 48-58,0,22.38,0.57,0.57,0,0.57,0,0,0,0.57,0,0,2.87,0.57,0,0,0,0
 60-70,0,32.39,0,0,0,0,0,0,0,3.93,0,0,8.83,1.96,2.94,0,0,0.98
 72-82,0,30.43,0,0,0,0,0,0,0,0,0,0,1.96,2.94,4.91,0,0,0
 84-94,0,24.43,0,0,0,0,1.06,0,0,1.06,0,1.06,2.12,4.25,1.06,0,0,0
 96-106,0,20.76,0,1.09,1.09,0,0,1.09,0,1.09,1.09,0,2.19,7.65,6.56,0,0,0
108-118,0,18.38,0,0.77,0,0,0.77,0,0,0,0,0,0.77,8.43,2.3,0,0,0
120,0,11.76,0,0,0,0,0,0,0,1.96,0,0,0,3.92,1.96,0,0,0
