stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,4,0,2,0,1,0,4,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,7.39,0,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0.81,0,0,0.81,0.81,11.28,0,0,0,0,0,1.61,0
 48-58,0,0,0,10.9,0,0,0,1.72,0,8.03,0,0,0,0,0,1.15,0
 60-70,0,0,0,170.78,0,1.96,0,0.98,0,8.83,0,0,0,0,0,0,0
 72-82,0,0.98,0,323.95,0,1.96,0,1.96,0,6.87,0,0,0,0,0,0,0
 84-94,0,1.06,0,264.45,0,1.06,0,1.06,0,3.19,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,170.48,0,0,1.09,0,1.09,3.28,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,124.09,0,0,0,0.77,0,2.3,0,0.77,0,0,0,0.77,0
120,0,1.96,0,84.27,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
