stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,31.19,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,28.2,0,0.81,0,0,0,1.61,0,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,1.15,0,0,3.44,0,0,0,0,0,30.41,0,0.57,0,0,0,5.74,0,0,4.02,0,0,0,1.15,0,0,0,0
 60-70,0,0.98,0.98,0,2.94,0,0,0,0,0,48.09,0,1.96,0,0.98,0,4.91,0,0,2.94,0,0,0,0,0.98,0,3.93,0
 72-82,0,0.98,0.98,0,8.83,0.98,0.98,0.98,0,0,74.61,0,9.82,0.98,0,0,29.45,0.98,0,4.91,1.96,0,0,0,0,0,18.65,0
 84-94,0,2.12,0,0,6.37,0,1.06,0,2.12,0,122.13,0,5.31,0,0,0,10.62,0,0,3.19,2.12,0,0,1.06,0,1.06,8.5,1.06
 96-106,1.09,6.56,4.37,1.09,14.21,0,4.37,3.28,0,2.19,165.02,1.09,7.65,1.09,0,3.28,28.41,0,1.09,3.28,5.46,0,0,1.09,0,0,14.21,0
108-118,0,4.6,0.77,0,7.66,0,4.6,0,0,2.3,123.32,0,6.13,0,0,0,14.55,0,0.77,2.3,4.6,0,0.77,0,0,0,11.49,0
120,0,3.92,0,0,0,0,0,3.92,0,0,82.31,1.96,0,0,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,11.76,0
