stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
 14-21,0,1,1,0,1,0,0,0,0,0,0,1,0,0,33,0,0,0,0,1,19,0,0
 24-34,0,0.82,15.6,0,0,0,0.82,0,0,0.82,0,1.64,0,0,58.28,0.82,0.82,0,0,0,14.78,0,0
 36-46,0.81,0,46.73,0.81,7.25,0,0,0,0,0,0,4.03,0.81,0,119.24,1.61,0.81,0.81,0,0,32.23,0,0
 48-58,0,0,61.97,1.72,9.75,0,0.57,0,0.57,0,0,4.02,0.57,0.57,88.37,0,0,0,0,0,22.38,0,0
 60-70,0,0,33.37,0,0.98,0,1.96,0,0,0,0,0.98,0.98,1.96,22.58,0.98,0,0,0,0,2.94,0,0
 72-82,0,2.94,28.47,0,5.89,0.98,0,0,0.98,0.98,0.98,5.89,1.96,0,51.05,0.98,0,0,0,0,4.91,0,0
 84-94,0,5.31,10.62,1.06,6.37,0,1.06,1.06,1.06,1.06,0,1.06,1.06,0,12.74,0,0,2.12,1.06,0,5.31,7.43,0
 96-106,0,3.28,7.65,0,1.09,1.09,0,0,1.09,0,0,3.28,1.09,1.09,12.02,1.09,0,1.09,0,0,0,5.46,0
108-118,0,6.89,10.72,0,1.53,1.53,0,0,3.06,1.53,0,2.3,0.77,0,16.85,0,0,0,0,0,0.77,7.66,0.77
120,0,5.88,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,5.88,0,0,0,0,0,0,3.92,0
