stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,61.3,901.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0
  7-9,28.92,13.14,36.8,0,0,0,81.49,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,420.59,13.14,0,0,194.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,3.15,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,440.58,15.73,0,0,176.23,0,6.29,3.15,6.29,0,0,0,0,0,0
 14-21,0,0,0,40,9,0,17,0,0,0,8,2,0,0,0,0,0,0,0,0,21,0,0,20,240,5,2,7,10,0,0,50,10,0,14,103,0,0,0
 24-34,0,0,0,9.03,0.82,0,64.85,0,0,0,15.6,0,0.82,0.82,0.82,0,0,0.82,1.64,0,32.83,0,0,10.67,529.45,1.64,5.75,4.93,0,12.31,0,0.82,3.28,1.64,3.28,136.26,4.1,0,0.82
 36-46,0,0,0,4.03,0.81,0,157.11,0,0.81,0,12.09,0.81,0,0.81,0.81,0,0,0.81,0.81,0,52.37,0,2.42,7.25,378.66,2.42,4.83,1.61,0,4.03,0,0.81,1.61,0,0,108.77,2.42,0,0
 48-58,0,0,0,2.3,1.72,0,195.09,0,0,1.15,10.9,0,0,1.15,0,0.57,0,0,0,0,38.44,0,2.3,7.46,155.5,0,1.72,2.87,0,1.72,0,0,0.57,0,0,39.02,1.15,0.57,0.57
 60-70,0,0,0,2.94,0,0,162.93,0,0,0,11.78,0.98,0,1.96,0,0,0.98,0.98,0,0,34.35,0,3.93,2.94,74.6,0,0.98,1.96,0,6.87,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,6.87,0,0,70.68,0.98,1.96,0,16.69,0,0,0.98,0.98,0.98,0.98,0,0,0,54.97,0.98,2.94,9.82,62.83,0.98,3.93,1.96,0,1.96,0,0,0,0,0,4.91,2.94,0,0
 84-94,0,0,0,8.5,2.12,1.06,53.1,0,0,0,16.99,5.31,0,1.06,3.19,0,0,2.12,0,0,36.11,0,6.37,6.37,67.97,0,4.25,1.06,0,2.12,0,0,0,0,0,2.12,4.25,0,0
 96-106,0,0,0,1.09,0,2.19,50.27,0,0,1.09,13.11,2.19,0,1.09,1.09,0,0,2.19,4.37,0,16.39,0,3.28,2.19,56.83,0,3.28,2.19,0,1.09,0,0,1.09,0,0,2.19,0,1.09,0
108-118,0,0,0,6.89,1.53,0,32.17,0,1.53,0,8.43,2.3,0,0.77,4.6,0,1.53,0,0,0,22.98,0.77,1.53,6.89,65.87,0,6.89,1.53,0,7.66,0,0,0.77,0,0,0,2.3,0.77,0
120,0,0,0,5.88,0,0,41.16,0,0,1.96,3.92,0,0,0,3.92,0,0,0,1.96,1.96,13.72,0,0,1.96,35.28,0,1.96,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0
