stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,5.75,0,0.82,0.82,1.64,0.82,0.82,0,0.82
 36-46,0,0.81,0,0.81,0,0,0,0,0.81,0.81,0.81,0,0,0,0,0,0.81,8.06,0,0.81,0,1.61,0,3.22,0,0
 48-58,0,0.57,0,1.15,0.57,0.57,0,0.57,0,0,1.15,0.57,0,0,1.15,0,0,6.89,0,0,1.15,0.57,0,3.44,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,7.85,0,0,0,1.96,0,0.98,0,0
 72-82,0,0.98,0.98,1.96,0,0,0.98,2.94,0,0,0,0.98,0,0,0.98,0,0,8.83,0,1.96,0,1.96,0,1.96,0,0.98
 84-94,0,1.06,0,1.06,0,1.06,0,0,0,1.06,1.06,0,0,0,1.06,0,0,9.56,0,0,1.06,3.19,0,0,0,1.06
 96-106,0,4.37,1.09,2.19,0,2.19,0,1.09,1.09,0,1.09,0,0,0,2.19,0,0,5.46,1.09,1.09,1.09,5.46,0,0,0,0
108-118,0,3.06,0,3.06,0,0.77,0,0,1.53,0.77,0,0.77,0.77,0,1.53,0.77,0,0.77,0,0.77,1.53,3.06,0,0,0,0
120,0,5.88,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,3.92,1.96,5.88,0,0,1.96,0
