stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,63.09,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,25,0,0,1,0,2,0,1,4,3,0
 24-34,0,0,0.82,3.28,0,8.21,0,0,0.82,0,0,0,0,0,0,0.82,7.39,0,2.46,45.97,0,0.82,0,0,0,0,0,1.64,15.6,0
 36-46,0,0,0,1.61,0,3.22,0,0,2.42,0,0,0,0,0.81,0,0,2.42,0.81,2.42,26.59,0,0.81,0,1.61,0,0.81,0,0,8.86,0.81
 48-58,0,0,0,0,0,6.31,0,0.57,2.3,0,1.15,0,0,0.57,0.57,0,5.74,0,1.15,10.33,0.57,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0.98,0,6.87,0,0,1.96,0,0,0,0.98,0,0,0,11.78,0,0.98,11.78,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,2.94,0,0,6.87,0,0,0,0,0,0,0,2.94,0,0,10.8,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,0,7.43,0,0,7.43,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.19,1.09,0,6.56,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,3.83,1.53,0,0.77,0,0,0,0,0,0,0,3.06,0.77,0.77,4.6,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,5.88,0,0,1.96,0,0,1.96,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0
