stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,13.14,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0.57,1.15,0,0,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,3.93,0,0,0,0,0,5.89,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,16.69,0,0,0.98,0,0,2.94,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,9.56,1.06,0,0,0,0,3.19,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,1.09,2.19,30.6,0,0,1.09,1.09,0,2.19,0,0,0,2.19,0,0,0
108-118,0,0,0,1.53,0.77,0,0.77,33.7,0,0,0,0,0.77,1.53,0.77,0,0,0,0,0,0
120,0,0,0,5.88,1.96,0,0,43.12,1.96,0,0,0,0,11.76,0,1.96,0,0,0,0,3.92
