stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,10.51,0,0,36.8,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,410.08,5.26,0,0,168.24,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,37.76,0,3.15,84.97,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,585.34,6.29,0,0,232.88,0,0,6.29,0,22.03,0,0,3.15,0,0,0,0,0
 14-21,0,1,6,36,13,17,0,0,0,10,3,0,0,0,3,0,0,0,0,29,0,19,364,12,1,2,8,0,3,0,32,0,1,23,101,0,0,2,0,0
 24-34,0,0,1.64,10.67,1.64,79.62,0,0.82,1.64,10.67,0.82,0,1.64,0,0.82,0,0.82,0,0,55.82,0,17.24,550.79,0.82,0.82,4.93,0,0,2.46,0,0.82,2.46,0,2.46,119.84,0,0,12.31,0,0.82
 36-46,0,0,0,5.64,0,150.66,0,0,0,8.86,0,0,0,0,0,0,0,0,1.61,51.56,1.61,18.53,278.76,0,1.61,0.81,0,0,1.61,0,0,0,0,0,59.62,0,0,3.22,0,0
 48-58,0,0,0,2.3,0,165.26,0,0.57,2.3,14.35,0.57,0,0,1.15,0,0.57,0,0.57,0,49.35,2.3,11.48,113.61,0,0,1.15,0,0,1.72,0,0,0,0,0,25.25,0,0,4.02,0,0.57
 60-70,0,0,0,2.94,0,77.54,0,1.96,0,10.8,0.98,0,0,0,0,0,0,0,0,26.5,0.98,6.87,53.98,0,0,0.98,0,0.98,1.96,0,0,0,0,0,1.96,0,0,3.93,0.98,0.98
 72-82,0,0,0,4.91,2.94,37.3,0,1.96,0,16.69,0.98,0,0,0,0,0,0,0,0.98,39.27,1.96,3.93,55.95,0,0,1.96,0,1.96,2.94,0,0,0,0,0,3.93,0,0,4.91,0.98,0
 84-94,0,0,0,5.31,2.12,36.11,1.06,0,1.06,11.68,1.06,0,1.06,3.19,1.06,0,0,0,0,25.49,2.12,3.19,52.04,0,1.06,2.12,0,2.12,3.19,0,0,0,0,0,1.06,1.06,0,2.12,0,2.12
 96-106,0,0,0,5.46,0,27.32,1.09,0,1.09,12.02,1.09,0,1.09,5.46,0,0,0,0,0,20.76,0,3.28,37.16,0,0,3.28,0,0,1.09,0,0,0,0,0,0,0,1.09,3.28,1.09,0
108-118,0,0,0,3.06,0.77,25.28,0,0,0.77,3.06,0.77,0,0,5.36,0,0.77,0.77,0,0,14.55,0.77,6.13,43.66,0,0,1.53,0,0.77,0.77,0,0,0,0.77,0,0,0.77,0,3.06,0,0.77
120,0,0,0,3.92,3.92,19.6,0,1.96,0,9.8,0,0,0,1.96,0,0,1.96,0,0,13.72,0,3.92,29.4,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0
