stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,361.65,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,31.54,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,34.62,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,179.38,9.44,0,0,100.7,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,6,53,10,0,46,0,0,0,4,1,4,1,0,1,0,0,0,1,17,0,0,17,236,4,0,0,3,4,0,39,0,39,28,0,0,1,0,2
 24-34,0,0,0,2.46,28.73,0.82,0,61.56,0,0.82,1.64,4.93,2.46,0,1.64,1.64,3.28,0.82,1.64,0,8.21,55,0.82,0.82,13.95,265.14,0.82,0,7.39,0.82,18.06,0.82,0,0,13.13,38.58,0,0,8.21,0,3.28
 36-46,0,0,0,0,8.86,0,0,21.75,0,0.81,0.81,4.83,1.61,0,1.61,0,0,0,1.61,1.61,4.83,24.98,0,1.61,7.25,114.41,0.81,1.61,0.81,0,13.7,1.61,0,3.22,0,20.95,0,0,4.83,0,4.03
 48-58,0,0,0,0,6.31,0,0,26.97,0,1.72,1.72,14.35,1.72,0,1.72,0,0,0.57,1.15,2.3,4.59,40.17,1.15,0,7.46,67.71,1.15,0,0.57,0,6.89,0,0,0,0,13.2,0,0,2.87,0,1.15
 60-70,0,0,0,0.98,4.91,0,0,26.5,0,0,2.94,17.67,5.89,0,0,0,0.98,0.98,0,5.89,1.96,43.19,0.98,0.98,8.83,77.54,0.98,0.98,2.94,0,13.74,0,0,0,0,10.8,0,1.96,0,0,1.96
 72-82,0,0,0.98,0,11.78,5.89,0,29.45,0,0,6.87,22.58,1.96,0,0,2.94,0.98,0,2.94,0.98,0,71.66,1.96,1.96,12.76,67.73,0.98,3.93,0.98,0,9.82,0,0,0.98,0,1.96,0,0.98,5.89,0,1.96
 84-94,0,0,0,0,12.74,0,0,22.3,0,2.12,2.12,18.05,12.74,1.06,1.06,10.62,4.25,1.06,3.19,1.06,2.12,53.1,2.12,6.37,11.68,28.68,2.12,2.12,0,0,21.24,0,0,3.19,0,5.31,1.06,3.19,10.62,1.06,0
 96-106,0,0,0,0,28.41,4.37,2.19,24.04,0,2.19,2.19,32.79,6.56,0,2.19,9.84,4.37,4.37,0,1.09,3.28,48.09,0,2.19,12.02,40.44,0,2.19,4.37,0,29.51,1.09,0,0,0,1.09,1.09,3.28,7.65,3.28,2.19
108-118,0,0,0.77,0,26.04,2.3,3.83,22.21,0.77,1.53,4.6,22.21,7.66,0,0,11.49,3.83,2.3,0,3.83,2.3,39.06,0.77,2.3,17.62,59.75,0,1.53,3.83,0,21.45,0.77,0,0.77,0,2.3,0.77,0.77,8.43,0.77,2.3
120,0,0,0,0,25.48,3.92,1.96,17.64,1.96,3.92,0,29.4,7.84,0,0,11.76,3.92,1.96,0,1.96,0,29.4,3.92,1.96,19.6,97.99,1.96,1.96,0,0,39.2,0,0,3.92,0,3.92,0,0,5.88,0,1.96
