stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,34.17,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,173.08,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,2,6,0,6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,96,351,1,0,0,0,0,4,1,0,3,35,0,0,2,0,0
 24-34,0,0,0,0,1.64,0.82,0,5.75,11.49,0,3.28,0,0,2.46,0,0,0,0,0,0.82,10.67,0,0.82,2.46,304.54,24.63,4.1,0.82,0,0,0,0,0,0,3.28,86.19,0,0,20.52,0,0
 36-46,0,0,0,0,0,0,0,27.39,0.81,0.81,14.5,0,0,2.42,0,0,0.81,0,0.81,0,11.28,0,0,0.81,618.75,8.06,5.64,0,0,0,1.61,0,0,0.81,0,152.27,0,0,15.31,0,0
 48-58,0,0,0,0,6.31,0,0,147.47,1.15,2.87,41.31,0,0,1.15,0,0,1.15,0,0,1.15,14.92,0,0.57,2.3,772.92,1.72,4.59,1.15,0,0,1.72,0,0,0,0,153.78,0,0,10.33,0,1.72
 60-70,0,0,0,0,2.94,0,0,490.76,5.89,6.87,71.65,0,0,0.98,0,0,0,0.98,0,0,45.15,0,3.93,2.94,1175.86,1.96,6.87,1.96,0,0,2.94,0,0,0,0,146.25,0,0.98,8.83,1.96,0
 72-82,0,0,0.98,0,9.82,0,0,544.82,0.98,7.85,128.6,0,0,0.98,0.98,0,0.98,2.94,0,0,142.34,0,2.94,3.93,1206.46,1.96,14.72,2.94,0,0.98,0.98,0,0.98,0,0,117.8,0.98,1.96,30.43,3.93,3.93
 84-94,1.06,0,1.06,0,11.68,1.06,0,314.36,3.19,10.62,75.4,1.06,0,3.19,3.19,1.06,2.12,1.06,1.06,0,77.53,1.06,6.37,1.06,579.87,1.06,5.31,5.31,0,0,6.37,0,0,0,0,52.04,3.19,0,27.61,4.25,2.12
 96-106,0,0,1.09,0,13.11,3.28,1.09,272.12,4.37,7.65,83.06,1.09,0,1.09,0,0,0,9.84,2.19,2.19,109.28,0,3.28,3.28,565,0,6.56,5.46,0,3.28,2.19,0,0,0,0,27.32,5.46,1.09,36.06,6.56,1.09
108-118,0,0,0.77,0,6.89,5.36,0,205.28,3.06,6.13,83.49,0.77,0,3.06,0.77,0.77,0.77,1.53,3.83,0.77,85.02,0.77,2.3,4.6,576,1.53,7.66,5.36,0,0,0,0,0,0,0,17.62,6.13,0,28.34,5.36,3.06
120,0,0,3.92,0,19.6,0,1.96,194.02,3.92,5.88,111.71,0,0,1.96,0,0,0,1.96,3.92,0,72.51,0,1.96,9.8,842.71,7.84,9.8,7.84,0,0,5.88,0,1.96,0,0,23.52,3.92,1.96,50.95,1.96,0
