stage,axial,blastomeres,endoderm,eye,gut,hatching_gland,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,pgc,slow_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,15.77,5.26,2.63,0
 10-12,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,0,7.66,0,0.77,0.77,0,0,0
120,0,0,0,1.96,0,0,7.84,0,0,1.96,0,0,0
