stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,26.29,0,0,5.26,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,3.15,0,3.15,0,0
 14-21,0,1,1,0,1,1,0,0,0,0,0,2,21,0,0,1,2,0,1,7
 24-34,0,1.64,0,0,2.46,1.64,0,0.82,0,1.64,0,1.64,16.42,0,0.82,0,2.46,0.82,0,1.64
 36-46,0,0,0,0,6.45,0,0,0,0,1.61,0.81,0,20.14,0,0,0,5.64,0,0,0.81
 48-58,0,0,0,0,5.74,0,0,0,0,1.15,0,0,2.87,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,3.93,1.96,0,0,0,1.96,0,0,9.82,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0.98,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,0,0,2.12,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,0,1.09,1.09,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,3.83,0.77,0.77,0,0,0,0,0.77,4.6,0,0,0,1.53,0,0,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
