stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,82,1,0,3,1,0,1,0,0,2,0,0,1,5,0,1,21,2,0,0,0,2,0,1,0,16,0,0,0,0
 24-34,0,45.97,0,0,4.1,0.82,0,0,0.82,0,0,0,0,0,3.28,0,0.82,29.55,0.82,0.82,0,0,0,0,0,0,7.39,0,0,0,0
 36-46,0,30.62,0,0,4.03,4.03,0,6.45,0.81,0,0,0,0,0,6.45,0,2.42,27.39,0,0.81,0,0,0.81,0,0,0,4.83,0,0,0,0
 48-58,0,20.66,0,0,10.9,6.31,0,20.66,0,0,0,0,0,2.3,11.48,0.57,1.72,11.48,0.57,0.57,0,0,0.57,0,0,0,10.33,0,0.57,0,0.57
 60-70,0,12.76,0,0,11.78,12.76,0,39.26,0,0,0.98,0,0,4.91,13.74,0,0.98,9.82,0.98,0,0,0.98,0,0,0,0.98,6.87,0,0,0,0
 72-82,1.96,12.76,0,0,15.71,4.91,0,71.66,0,0,0,0,0,13.74,22.58,0,1.96,8.83,0.98,0.98,0,0,0,0,0,0,5.89,0,0,0,0
 84-94,1.06,48.85,0,0,38.23,14.87,0,65.85,4.25,0,2.12,1.06,0,88.15,18.05,0,0,10.62,1.06,2.12,0,0,0,1.06,0,0,6.37,1.06,1.06,1.06,0
 96-106,3.28,42.62,3.28,1.09,33.88,10.93,0,100.54,2.19,0,2.19,0,0,66.66,25.14,0,0,15.3,1.09,6.56,3.28,0,1.09,0,0,0,14.21,1.09,1.09,1.09,0
108-118,0,61.28,0.77,0,33.7,29.11,1.53,73.53,3.06,0,0,0,1.53,100.34,20.68,0,1.53,13.02,3.06,0.77,0,0.77,2.3,0,0,0,4.6,0,0,0,0
120,0,52.91,0,0,9.8,15.68,1.96,54.87,3.92,1.96,1.96,0,0,31.36,27.44,1.96,0,11.76,1.96,3.92,1.96,1.96,3.92,0,0,0,9.8,1.96,1.96,0,0
