stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,39.43,2.63,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0
 24-34,0,0,0,0.82,0.82,1.64,0,0,0,0,0,0,0,1.64,0,0,7.39,0,0,0,0,1.64,0,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0.81,0,1.61,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,0.57,0,0,0,0.57,0,1.15,0,0.57,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,0,0,0,0,1.96,0,0,1.96,0.98,0.98,1.96,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,1.09,0,1.09,2.19,0,0,0,0,0,1.09,0,3.28,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77
120,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0
