stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,0,0,0,0,0,1,0,0,2,42,0,0,0,0,0
 24-34,0,0,1.64,0,0,4.1,0,0,0,3.28,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,559.82,0,9.85,0.82,0,0.82,0,0.82,0,0,203.57,0,0,0,0,0
 36-46,0,0,0.81,0,0,30.62,0,0.81,0,2.42,0,0,0.81,0,1.61,0,0,0,0,5.64,0.81,0,0,1488.88,0.81,5.64,0,0,1.61,0,0,0,0,386.72,0,0,0.81,0,0.81
 48-58,0.57,0,6.31,1.15,0,241,0.57,1.72,0.57,21.23,0,0,0,0,1.15,0,1.15,0,0,18.36,0.57,0,2.87,2414,0.57,11.48,0.57,0,0.57,0,0,0.57,0,487.73,0,0,1.72,0,1.15
 60-70,0,0,8.83,0.98,0,1017.84,0,0.98,0.98,26.5,0.98,0.98,0.98,2.94,0,1.96,0,0,0,26.5,0.98,0.98,3.93,3680.71,0,6.87,1.96,0,5.89,0,0,1.96,0,454.44,0,0,2.94,0,3.93
 72-82,0.98,0,28.47,1.96,0,1910.31,0,0.98,3.93,77.55,6.87,0.98,0,3.93,0.98,2.94,0.98,2.94,0,53.01,0,6.87,2.94,3870.69,0.98,9.82,3.93,0.98,0.98,0,0,0,0,319.04,0,0.98,6.87,1.96,1.96
 84-94,1.06,0,33.99,1.06,0,1370.03,1.06,2.12,0,88.15,1.06,0,1.06,3.19,1.06,5.31,1.06,2.12,1.06,47.79,0,4.25,4.25,2005.13,1.06,12.74,8.5,0,5.31,0,1.06,0,0,173.11,2.12,2.12,1.06,4.25,3.19
 96-106,0,0,45.9,9.84,2.19,1239.29,0,1.09,0,87.43,3.28,0,2.19,3.28,0,2.19,2.19,4.37,0,40.44,1.09,1.09,5.46,1747.46,0,8.74,7.65,0,17.49,0,0,2.19,0,80.87,3.28,2.19,6.56,2.19,2.19
108-118,0,0,22.21,3.06,0,898.47,1.53,1.53,3.06,61.28,3.06,0,0,1.53,0,0.77,0,4.6,0.77,25.28,0.77,2.3,3.83,1898.82,0.77,7.66,3.83,0,8.43,0,0.77,0,0,62.04,2.3,0,4.6,0.77,0
120,1.96,1.96,45.08,1.96,1.96,868.19,3.92,0,0,78.39,1.96,0,0,5.88,0,0,1.96,3.92,0,33.32,0,1.96,7.84,2253.75,1.96,13.72,3.92,1.96,9.8,0,3.92,1.96,0,80.35,0,0,13.72,0,0
