stage,epidermis,eye,gut,immune,ionocyte,lateral.line,mucous,neural,notochord,periderm
  5-6,0,0,0,0,0,0,0,0,0,24.52
  7-9,0,2.63,0,0,0,0,0,2.63,0,7.89
 10-12,0,0,0,0,0,0,0,3.15,0,3.15
 24-34,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0.81,0.81,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0
 72-82,0.98,0.98,0.98,0,4.91,0.98,0,0.98,0,0
 84-94,0,0,0,0,2.12,2.12,1.06,1.06,0,0
 96-106,2.19,0,1.09,0,5.46,1.09,1.09,2.19,0,0
108-118,2.3,0,0,0,8.43,0.77,0,0,0.77,0
120,1.96,0,1.96,1.96,5.88,1.96,0,0,0,0
