stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0
 24-34,0,21.34,0,0.82,1.64,0,0,0,0,0,0,0,0,1.64,0.82,0,1.64,0,0,0,5.75,0.82,0,0,0
 36-46,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0.81,0,0.81
 48-58,0,8.61,0,1.15,0,0,0.57,0.57,0,0,0,0,1.15,0.57,0.57,0.57,3.44,0,0,0,2.87,0,1.15,0,0.57
 60-70,0,7.85,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0.98,0,2.94,0.98,0,0,0.98,0,0,0,0
 72-82,0,10.8,0,0.98,0,0,0,0,0.98,0.98,0.98,0,0,1.96,0,0,1.96,0.98,0,0,5.89,0,0,0.98,0
 84-94,0,38.23,1.06,2.12,5.31,0,0,4.25,0,2.12,0,0,0,2.12,1.06,0,1.06,1.06,0,0,11.68,0,0,0,0
 96-106,0,16.39,0,0,6.56,0,0,2.19,0,3.28,1.09,0,0,1.09,0,0,4.37,1.09,1.09,0,16.39,0,0,0,2.19
108-118,0,26.81,0,0,9.19,0,0,5.36,0,3.06,1.53,0.77,0,0.77,0.77,0,2.3,1.53,0,0,13.02,0,0,0,0
120,0,21.56,1.96,0,1.96,1.96,0,3.92,0,1.96,3.92,0,0,1.96,0,0,3.92,1.96,0,0,13.72,0,0,0,0
