stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,2.63,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.82,0,0,15.73,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,60,1,0,5,3,0,4,2,0,0,1,6,0,0,0,2,1,0,0,55,4,7,1,11,3,1,1,1,25,0,0,0,0
 24-34,0,0,0,1.64,28.73,0.82,0,5.75,4.1,0,2.46,3.28,0,0,5.75,9.85,0,2.46,0.82,0,4.1,0,0,69.77,13.95,10.67,0,37.76,0.82,0,0.82,0,12.31,0,2.46,0,1.64
 36-46,0,0,0,0.81,12.09,0.81,0,6.45,1.61,0,2.42,1.61,0.81,0,13.7,0.81,0,3.22,0.81,2.42,2.42,0,0,62.84,16.11,3.22,0,36.26,1.61,0,0.81,0,15.31,0,0,0,0.81
 48-58,0,0,0,0,10.9,0,0,19.51,4.59,0.57,7.46,1.72,0,0.57,8.03,0,0,4.02,0,1.15,2.3,0,0.57,31.56,6.89,1.72,0,24.1,0,0,0,0,4.02,0,1.15,0,1.15
 60-70,0,0,0.98,0,16.69,0.98,0,10.8,6.87,0,6.87,4.91,0,0,16.69,2.94,0,5.89,0.98,4.91,2.94,0,0.98,29.45,13.74,1.96,0,23.56,0.98,0,0,0,0.98,5.89,1.96,0,0
 72-82,0,0,5.89,0,32.39,1.96,0,4.91,3.93,0,12.76,13.74,0,0,24.54,5.89,0.98,3.93,0,13.74,5.89,0,0.98,31.41,13.74,7.85,0,27.49,0.98,0,0.98,0,3.93,10.8,2.94,0.98,0.98
 84-94,0,0,2.12,0,35.05,6.37,0,3.19,8.5,0,2.12,19.12,0,0,56.29,7.43,2.12,6.37,1.06,6.37,9.56,0,3.19,26.55,14.87,2.12,0,103.02,0,0,2.12,0,5.31,28.68,4.25,0,1.06
 96-106,0,0,3.28,1.09,52.46,4.37,1.09,7.65,5.46,1.09,10.93,28.41,0,0,57.92,7.65,1.09,10.93,1.09,12.02,3.28,2.19,0,19.67,16.39,3.28,0,76.5,2.19,0,0,0,1.09,24.04,4.37,0,3.28
108-118,0,0,6.13,0.77,60.51,2.3,5.36,3.83,17.62,0.77,7.66,20.68,0,0.77,58.98,11.49,0,7.66,3.06,10.72,3.83,0.77,2.3,33.7,4.6,7.66,0,44.43,0.77,0,1.53,0,0,10.72,5.36,0.77,1.53
120,0,0,1.96,0,37.24,5.88,1.96,5.88,3.92,0,0,25.48,0,0,50.95,9.8,0,7.84,5.88,3.92,1.96,0,0,21.56,9.8,5.88,0,41.16,0,0,1.96,0,0,11.76,5.88,0,0
