stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,3,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,5.75,1.64,0,0,0,0,0,0,0,4.1,9.85,0,0,0,0,0,17.24,0,4.93,5.75,11.49,0.82,0.82,0,0.82,1.64,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,4.83,0.81,0,6.45,0,11.28,0,0,0,3.22,17.72,1.61,0.81,0,0,0,78.96,0,39.48,16.92,45.92,1.61,0,0,0.81,0,0,0,0,0,5.64,0,1.61,3.22,0,0
 48-58,0,0,10.9,12.62,0,21.23,1.15,17.21,2.3,2.87,0.57,9.18,48.2,1.15,0,0,0.57,1.15,73.45,1.15,99.84,11.48,51.07,1.15,0.57,1.15,5.74,1.15,0,4.02,0,0,15.49,0,4.02,2.3,2.3,0
 60-70,0,0,9.82,11.78,0,26.5,1.96,9.82,2.94,5.89,0.98,11.78,99.13,0.98,0,0.98,1.96,0,152.14,0,153.12,16.69,101.1,1.96,0.98,2.94,16.69,2.94,0,1.96,0.98,0,14.72,0,35.33,10.8,32.39,0.98
 72-82,0,0.98,22.58,36.32,1.96,80.5,1.96,15.71,4.91,20.61,8.83,23.56,211.06,0.98,1.96,0,0.98,0,253.27,0,161.97,26.5,125.65,0,0.98,9.82,30.43,4.91,0,4.91,0.98,0,18.65,0,56.94,39.27,109.95,2.94
 84-94,0,2.12,25.49,23.36,1.06,86.03,1.06,18.05,5.31,19.12,4.25,22.3,232.59,4.25,1.06,0,4.25,0,181.61,0,191.17,13.81,61.6,0,1.06,5.31,24.43,5.31,0,10.62,0,0,12.74,1.06,61.6,26.55,137,1.06
 96-106,1.09,3.28,49.18,29.51,5.46,91.8,2.19,22.95,3.28,14.21,26.23,44.81,321.3,4.37,8.74,5.46,13.11,0,316.93,3.28,138.79,36.06,127.86,3.28,1.09,19.67,56.83,17.49,0,19.67,0,0,8.74,2.19,49.18,64.48,161.74,0
108-118,0.77,0.77,32.94,14.55,7.66,48.26,0.77,16.85,5.36,16.09,24.51,26.04,287.24,4.6,2.3,0.77,4.6,0.77,274.21,0,135.58,26.04,117.96,1.53,1.53,8.43,68.94,8.43,0,11.49,0,0,7.66,0,28.34,49.79,108,1.53
120,0,0,33.32,21.56,3.92,29.4,5.88,11.76,5.88,13.72,29.4,39.2,433.11,3.92,5.88,3.92,1.96,0,286.13,0,186.18,33.32,76.43,0,1.96,11.76,90.15,9.8,0,5.88,0,0,9.8,0,50.95,52.91,156.78,1.96
