stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,55.17,637.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,220.81,15.77,0,0,78.86,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,132.17,0,0,0,72.38,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,4,24,8,6,0,0,4,1,0,0,0,0,0,0,12,0,0,8,191,11,1,1,6,1,42,0,19,72,0,3,0,0
 24-34,0,0,0,1.64,4.1,0.82,14.78,0.82,0,0,0,0,0,0,0,0,0,17.24,0.82,0,9.03,151.04,0.82,0.82,0.82,0,3.28,0,0.82,1.64,32.01,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,22.56,0,0.81,3.22,0,0,0,0,0,0,0,13.7,0,0,4.83,87.01,0,0,0,0,2.42,0,0,0,19.34,0,2.42,0,0
 48-58,0,0,0,0,0,0,32.13,0,0,2.3,0.57,0,0.57,0,0,1.15,0,15.49,0,0,3.44,41.89,0,0,0.57,0,0.57,0.57,0,0,8.61,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,10.8,0,0,1.96,0,0,0,0,0,0,0.98,14.72,0,0.98,0,17.67,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0,0,2.94,0,8.83,0,0.98,4.91,0,0,0,0,0,0,0,21.6,0,0,4.91,25.52,0.98,0,0.98,0,0,0,0.98,0,0.98,0,0.98,1.96,0
 84-94,0,0,0,1.06,2.12,0,7.43,0,0,3.19,0,0,0,0,0,0,0,4.25,0,0,1.06,8.5,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,4.37,0,1.09,2.19,1.09,0,1.09,1.09,0,1.09,0,7.65,0,0,2.19,13.11,0,1.09,0,0,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0.77,0,3.06,0,3.83,0,0,6.13,0,0,0,0,0.77,0,0.77,7.66,0,0.77,1.53,13.02,0,0,0.77,0,0,0,0,0,0.77,0,1.53,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0
