stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,134,0,0,0,0,0,0,0,0,0,0,0,12,0,4,4,1,0,0,0,0,3,0,4,0,0,0,0,0
 24-34,0,0,2.46,0.82,206.03,4.93,0.82,0,0,0.82,0.82,0,0.82,0,0,0,5.75,0,0.82,19.7,0,0,0.82,0,0,10.67,0,4.93,0,0,0,0,0
 36-46,0,0,0,0.81,69.29,0.81,0,0,0,2.42,0,0,0.81,0.81,0,0,2.42,0.81,0,12.89,0,0.81,0.81,0,0,15.31,0,3.22,0,0,0.81,0,0
 48-58,0,0,0.57,0.57,69.43,3.44,0,0,1.72,5.16,0,0,0.57,0,0,1.72,1.15,0,1.72,9.75,0,1.15,0,0,0,22.95,0,5.16,0,0,0,0.57,0
 60-70,0,0.98,0,0.98,16.69,11.78,0.98,0.98,1.96,20.61,0.98,0,0,0,0,0,5.89,0.98,0,9.82,0,0,0,0,0,8.83,0,3.93,0,0,0,0,1.96
 72-82,0,3.93,0,1.96,21.6,4.91,0,0.98,1.96,61.84,0,0,0,0,0,0.98,8.83,0,1.96,15.71,0,0.98,0,0,0,15.71,0,1.96,0.98,0.98,0,0,0
 84-94,0,2.12,0,4.25,20.18,8.5,0,1.06,2.12,140.19,0,0,0,1.06,0,0,1.06,0,1.06,9.56,0,0,0,0,0,26.55,1.06,0,2.12,0,1.06,0,0
 96-106,0,5.46,0,4.37,27.32,5.46,2.19,0,1.09,98.36,0,0,3.28,0,1.09,4.37,10.93,0,0,29.51,0,1.09,0,0,0,21.86,0,2.19,0,0,0,0,0
108-118,0,1.53,0.77,5.36,51.32,3.83,0,0,1.53,76.6,0,0.77,2.3,0,0,0,5.36,0,0,16.85,0,0,0.77,0,0.77,17.62,0,0,0,0,0,0.77,0
120,0,0,0,13.72,31.36,0,3.92,0,1.96,39.2,0,1.96,1.96,0,0,0,0,1.96,1.96,5.88,0,0,3.92,0,0,39.2,0,0,0,0,0,0,1.96
