stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,7.39,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,2.42,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0.57,1.72,0.57,2.87,0,0,0,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,0,0,0,0,1.96,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,1.96,0.98,0,2.94,0,0.98,0,0,1.96,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,1.53,0.77,0,0,0,0,1.53,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0
