stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,2.63,0,0,0,5.26,0,0,5.26,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,10.33,0,0,0,0,0,1.15
 60-70,0,0,0,4.91,0,0,0,0.98,0.98,25.52,0,0,0,0,0.98,0
 72-82,0,0,0,14.72,1.96,0,0,1.96,0,28.47,0,0,0,0,1.96,0
 84-94,0,1.06,0,9.56,0,0,1.06,3.19,0,27.61,1.06,0,0,0,1.06,0
 96-106,0,1.09,0,7.65,1.09,0,0,1.09,0,21.86,0,0,0,0,1.09,0
108-118,0,0,0,14.55,0,0,0,1.53,0,13.02,0,0.77,0,0,0,0
120,0,0,0,11.76,0,0,0,1.96,0,13.72,0,0,0,0,0,0
