stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,mesenchyme,neural,olfactory,somites,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,4.91,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,2.94,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,11.68,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,0,0,1.09,0,13.11,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,0,0,0,0,0,0,5.36,0,3.06,0,0,0.77,0.77,0.77
120,0,0,0,0,0,0,0,0,0,17.64,0,0,1.96,0,1.96,0,0
