stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,191.97,0,34.62,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,522.4,9.44,0,72.38,0,3.15,0,44.06,3.15,0,0,0,0
 14-21,0,0,16,483,23,0,0,0,0,0,13,5,6,10,0,0,0,138,2,0,42,42,1,0,11,0,14,11,0,2,1,0,0,0
 24-34,0.82,0,5.75,132.98,2.46,0,5.75,0,0,1.64,20.52,0,12.31,0,0.82,0,2.46,142.83,0,0.82,26.27,33.66,0.82,0,0,0.82,4.93,0,0.82,1.64,5.75,0,0.82,0
 36-46,0,0,1.61,20.14,0,0,0,1.61,0,0,8.86,0,8.06,0,0,0,1.61,57.2,0,5.64,6.45,12.89,0,0.81,0,0.81,0.81,0,0,0,3.22,0,0,0
 48-58,0,0,0,14.35,0,0,1.15,0,0.57,0,4.02,0,2.87,0.57,0,1.72,1.15,27.54,1.15,5.16,2.3,10.33,0,0,0,2.3,0,0,0,0,2.3,1.15,0,1.72
 60-70,0,0,0,4.91,0,0,0.98,0,0.98,0,6.87,0,2.94,0,0,0,0.98,11.78,0,1.96,0,10.8,0,0,0,1.96,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,13.74,0,0,0.98,6.87,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,1.06,0,1.06,0,2.12,0,0,0,0,0,1.06,6.37,0,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,3.28,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
