stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,4,0,3,1,1,1,12,1,30,0,0
 24-34,0,0,0,0,0.82,0,0.82,22.16,0,0,0,0,0,0,0,17.24,0.82,35.3,4.1,0.82,0,13.95,0.82,55,0,0
 36-46,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0,0,0,23.36,0,51.56,0.81,0.81,0,8.06,0,29.81,0,0
 48-58,0,0,0,0,1.15,0,0,4.59,0,0,1.15,0,0,0,0.57,9.75,0,42.46,4.02,0.57,0,1.72,0,19.51,0,0.57
 60-70,0,0,0.98,0,2.94,0,0,8.83,0,0,3.93,0,0,0.98,0,34.35,0,32.39,3.93,0.98,0,0,0,11.78,0,0.98
 72-82,0,4.91,0,0.98,4.91,0,0,20.61,4.91,0,9.82,0,2.94,0,0.98,16.69,0,76.57,9.82,0,0,0.98,0,9.82,0,0
 84-94,0,4.25,1.06,2.12,3.19,0,0,14.87,4.25,1.06,6.37,0,0,0,0,15.93,0,92.4,13.81,0,0,2.12,0,11.68,0,0
 96-106,0,2.19,1.09,1.09,3.28,2.19,0,10.93,3.28,1.09,20.76,1.09,2.19,0,0,21.86,1.09,142.07,24.04,1.09,0,1.09,0,9.84,1.09,0
108-118,0,1.53,0.77,0,2.3,0.77,0,8.43,2.3,0,9.96,0.77,1.53,0,0,23.74,0,84.26,22.98,1.53,0,2.3,0,8.43,0.77,0
120,0,1.96,0,0,0,0,0,5.88,0,0,13.72,0,1.96,0,0,17.64,0,56.83,15.68,0,0,3.92,0,0,0,0
