stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.36,40.91,0,0,44.06,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,691,0,17,0,23,0,0,0,0,0,8,0,0,0,13,5,0,0,0,48,179,0,12,1,0,21,0,3,0,0,1,8,0,0,0,0,9
 24-34,0,0,2.46,0,179.77,0.82,7.39,0,96.04,0,0.82,0,0,0,2.46,0,0,0,16.42,12.31,0.82,0,3.28,43.51,19.7,0.82,0.82,0,0,107.53,0,0,0,0,0,9.85,0,0,8.21,0,4.1
 36-46,0,0,0,0,53.98,0,4.83,0,49.95,1.61,3.22,0,0,0,1.61,0,0,0,4.03,13.7,1.61,0,0.81,74.12,6.45,0.81,2.42,0,0,87.82,0,0,0,0,0,4.83,0,0,4.03,0,5.64
 48-58,0,0,0,0,46.48,0,24.1,0,52.79,6.89,11.48,0,0.57,0,0,0,0.57,0.57,0.57,45.33,0.57,0,1.15,175.58,0.57,0,1.72,0,0,131.4,0,0,0,0,0,7.46,0,0,1.72,0,1.15
 60-70,0.98,0,0.98,0,58.89,0.98,194.34,0,45.15,10.8,38.28,0,0,0,1.96,0.98,0.98,0,0,115.82,0,0,2.94,396.53,1.96,0.98,0.98,0,0,156.06,0,0,0,0,0,1.96,0,0,1.96,0,2.94
 72-82,0,0,0,0,81.48,0,373.03,0.98,33.38,11.78,86.39,0.98,0,0.98,5.89,1.96,0,0.98,0.98,296.46,1.96,0.98,2.94,394.63,0,1.96,0.98,0,0,222.84,0,0,0,0,0,5.89,0,0.98,11.78,0,0.98
 84-94,0,0,0,0,166.74,0,240.02,0,56.29,6.37,55.23,0,0,1.06,16.99,1.06,0,1.06,1.06,197.54,4.25,3.19,1.06,207.1,0,3.19,4.25,0,0,608.55,0,0,0,0,0,3.19,3.19,1.06,5.31,1.06,1.06
 96-106,0,0,0,0,199.99,3.28,208.73,1.09,64.48,5.46,59.01,2.19,1.09,2.19,20.76,1.09,1.09,2.19,1.09,198.9,12.02,1.09,5.46,173.76,1.09,3.28,3.28,0,1.09,871,1.09,0,0,1.09,0,2.19,6.56,0,7.65,0,4.37
108-118,0,0,2.3,0,198.38,1.53,150.13,0,78.13,14.55,29.87,2.3,0,2.3,19.15,0,0.77,0.77,0.77,151.66,9.19,2.3,2.3,183.07,0.77,1.53,3.06,0,1.53,593.62,0,0,0.77,0,0,0.77,5.36,0.77,3.06,0,1.53
120,0,0,0,0,146.98,0,103.87,0,43.12,0,13.72,7.84,0,3.92,1.96,0,1.96,1.96,0,131.31,5.88,1.96,0,164.62,0,0,3.92,0,0,411.55,0,0,0,0,0,0,0,0,3.92,0,0
