stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0
 24-34,0,0,0,0,2.46,0,5.75,0,2.46,0,0,0,0.82,0.82,4.1,0,0,3.28,92.76,0.82,0.82,0,0,0,2.46,0,0,0.82,25.45,0,0
 36-46,0,0,0,0,0,0,8.06,0,1.61,0,0,0,0,0.81,4.03,0,0,4.03,96.68,0,0,0,0,0,0.81,0,0,0,22.56,0,0
 48-58,0,0,0,0,1.15,0,16.07,0.57,2.3,0,0,0,0,0,3.44,0,0,0,135.42,0,0.57,0.57,0,0,0,0,0,0,17.21,0,0
 60-70,0,0,0,0,0,0,27.48,0,1.96,0,0,0,0,0,7.85,0,0.98,1.96,281.7,0,0.98,0,0,0,0,0,0,0,22.58,0,0
 72-82,0,0,0,0,1.96,0,31.41,0,4.91,0,0,0,0,0,6.87,0.98,0,1.96,263.09,0,0,0,0,0,0,0,0,0,11.78,0.98,0
 84-94,0,0,0,0,3.19,0,25.49,0,3.19,0,0,0,0,0,6.37,0,0,0,129.57,0,2.12,0,0,1.06,0,0,0,0,13.81,0,0
 96-106,0,0,0,0,0,0,25.14,0,6.56,0,0,1.09,0,0,3.28,0,0,0,93.98,0,3.28,1.09,0,0,0,0,1.09,0,5.46,1.09,1.09
108-118,0,0,0,0,1.53,0.77,19.92,0,2.3,0.77,0,0,0,0,3.06,0,0,0,150.89,0,0,0,0,0,0,0,0,0,2.3,0,0.77
120,0,0,1.96,0,0,0,23.52,0,1.96,0,0,0,0,0,3.92,0,0,0,229.29,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96
