stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,68.35,0,0,47.32,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,525.74,10.51,0,0,76.23,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,34.62,0,9.44,62.94,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,985,40.91,0,0,125.88,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,1,32,55,18,0,0,0,39,2,3,1,36,0,0,0,0,14,0,5,2320,5,1,0,1,0,1,0,9,3,0,9,622,0,0,6,0,0
 24-34,0,0,7.39,1.64,8.21,9.85,23.8,0,1.64,0,55.82,0,0.82,0,73.06,0,0,0.82,0,27.91,0,9.03,3104.48,0.82,7.39,3.28,0,0,7.39,0,0,0,0,2.46,822.5,0,0,26.27,0,0.82
 36-46,0,0,0,0,2.42,0,70.9,0,0,2.42,65.26,0,0,0,82.98,0,0,0,1.61,13.7,0,3.22,3593.28,0,8.86,0,0,0,3.22,0,0,0.81,0.81,0,789.56,0,0.81,5.64,0,1.61
 48-58,0,0,1.72,0,7.46,0.57,230.1,0.57,0.57,1.15,84.35,0,0,0,86.07,0,0.57,0,2.3,33.28,0,4.02,3278.15,0.57,5.74,2.3,0,0.57,1.15,0,0,0,0,0,532.49,0,0.57,4.02,0,6.31
 60-70,0,0,0.98,0,2.94,0,208.08,0,0,0,53,0.98,0,0,65.76,0,0,0,0,20.61,1.96,2.94,2692.31,0,4.91,1.96,0,1.96,2.94,0,0,0,0,0,262.07,0,0.98,3.93,0,0
 72-82,0,0,2.94,0,12.76,2.94,242.47,0,0,2.94,73.62,1.96,0,0,124.67,0,0,0,0,42.21,0,0.98,1937.8,0,9.82,3.93,0,0.98,2.94,0,0,0.98,0,0,81.48,2.94,2.94,6.87,3.93,1.96
 84-94,0,0,4.25,0,4.25,2.12,175.24,1.06,0,2.12,43.54,1.06,0,3.19,162.49,2.12,1.06,0,0,30.8,2.12,2.12,857.06,0,4.25,0,0,0,5.31,0,0,0,0,0,72.22,1.06,3.19,8.5,0,1.06
 96-106,0,0,4.37,0,8.74,3.28,115.84,0,1.09,0,42.62,5.46,0,0,204.36,1.09,0,0,0,19.67,0,0,734.39,0,2.19,4.37,0,1.09,1.09,1.09,0,0,0,0,21.86,4.37,0,5.46,2.19,1.09
108-118,0,0,0.77,0,11.49,2.3,71.23,0,0,0.77,16.09,1.53,0,0,156.26,0.77,0,1.53,0,13.02,0,0.77,792.77,0,3.83,0.77,0,3.06,1.53,0,0,0,0,0,13.79,0.77,0,5.36,0,0
120,0,0,0,0,9.8,3.92,60.75,0,0,1.96,13.72,0,0,1.96,141.1,0,0,1.96,0,1.96,0,0,660.45,0,1.96,0,0,1.96,5.88,0,0,3.92,0,0,7.84,0,0,13.72,1.96,0
