stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,2.63,2.63,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,141.61,0,0,0,12.59,6.29,0,12.59,0,0,0
 14-21,0,0,0,9,313,7,5,1,0,0,14,0,0,14,0,1,52,1,0,9,16,17,1,1,3,3,5,1,3,3,0
 24-34,0.82,0,0,18.88,54.18,0,10.67,2.46,0,0,3.28,0,0.82,1.64,0.82,1.64,56.64,0.82,0,18.88,20.52,0,0,4.93,0,1.64,0,0,0.82,2.46,0
 36-46,0,0,0,0.81,10.47,0,3.22,1.61,0,0.81,4.03,0,0,1.61,2.42,5.64,20.14,0,0.81,0.81,8.06,0.81,0,3.22,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,2.87,0.57,0,0,0.57,0,0,0,0,0.57,2.3,0,0,1.15,14.92,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,0,0,0.98,0,0,0,0,0,3.93,0,0,0,21.59,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.91,0,0,1.96,0,0,0,0,0,0,5.89,0,0,0,48.1,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,4.25,0,0,0,1.06,0,0,0,0,0,3.19,0,0,0,26.55,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,2.19,1.09,1.09,0,0,0,0,0,0,4.37,0,0,0,44.81,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,1.53,0,0.77,0.77,0,0,0.77,0,0,1.53,0,0,0,36,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,43.12,0,0,0,0,0,0,0,0,0,0
